"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"gene-LOC134686847|LOC134686847" 91.8295340761181 -0.312995096299159 0.111539253061928 0.00081541748545357 0.0179530346585
"gene-LOC134720663|LOC134720663" 76.326581253144 -0.649711352241218 0.229737024298298 0.000252668776454213 0.00744367957906302
"gene-LOC134702999|LOC134702999" 110.184622991596 0.464732896460971 0.115845830499299 5.77700975005256e-06 0.000452151466318568
"gene-LOC134697084|LOC134697084" 232.782181593832 0.340485505235175 0.125028910387766 0.000892068124937033 0.0192538358975094
"gene-LOC134721944|LOC134721944" 256.085761988709 0.567119374387295 0.207578570733752 0.000389685037285569 0.0103351249019216
"gene-LOC134705579|LOC134705579" 121.521762592064 -0.257584383385699 0.0999885311101946 0.00222973851054474 0.037536344731086
"gene-LOC134704253|LOC134704253" 111.082981209557 0.491455307567827 0.110433755850437 7.97511849488914e-07 0.000131272982209524
"gene-LOC134707971|LOC134707971" 11.4252107465587 -1.12727724136794 0.33110257061405 3.03685725192232e-05 0.00151233898176636
"gene-LOC134693881|LOC134693881" 44.8842948678016 -0.860218990502876 0.276926673550954 8.82393237065338e-05 0.00349252590395708
"gene-LOC134684350|LOC134684350" 48.7888481204489 -0.878983738386893 0.164328184688432 5.1670087365864e-09 5.3581880598401e-06
"gene-LOC134692127|LOC134692127" 476.615529221741 -0.531592300969757 0.151654253563099 3.48781573790737e-05 0.00164402950918634
"gene-LOC134684656|LOC134684656" 18.3563586825318 -0.574243801762297 0.24140890444919 0.000991634379621791 0.0207323558803991
"STRG.12539|LOC134704238" 24.0728168096966 0.545595730956857 0.185751222299465 0.00023357875900591 0.00706184178102417
"gene-LOC134704275|LOC134704275" 56.0919351855078 0.437539248898119 0.124146887061049 4.35817943387952e-05 0.00196497046649264
"STRG.11893|LOC134702772" 61.2369221277449 0.639230188802284 0.138285736404602 2.69282012594049e-07 7.15430313000448e-05
"gene-LOC134716384|LOC134716384" 50.9563212769882 -2.11965494110668 0.565438484183335 6.56320746934477e-06 0.000479330834179727
"STRG.12566|LOC134704266" 38.0958320191744 0.542236677072254 0.145979380609665 1.59778667121477e-05 0.00093084538092681
"gene-LOC134690918|LOC134690918" 107.430196914144 4.88860582960017 1.01277427248121 4.6738788641063e-08 3.23120825471882e-05
"gene-LOC134723111|LOC134723111" 44.7550696831912 -0.512509247987327 0.177761164379805 0.000286291282987895 0.00822393519275478
"gene-LOC134695638|LOC134695638" 10.2534169276385 -1.14774773961014 0.352799429643844 5.19345486606851e-05 0.00226286247735842
"gene-LOC134724914|LOC134724914" 58.9921970703418 -0.433234495451358 0.184823657891634 0.00157248637152277 0.0294876739108339
"gene-LOC134708127|LOC134708127" 18.5791329816678 1.21296288366124 0.5180208820018 0.00062290476623062 0.0147477680954601
"gene-LOC134694369|LOC134694369" 256.165834426199 0.628349769078283 0.180456209938027 3.2182065637774e-05 0.00156679821907848
"gene-LOC134695609|LOC134695609" 9.16033806026701 -0.731137387111863 0.313804210970897 0.000893066062362777 0.0192538358975094
"gene-LOC134703446|LOC134703446" 33.257667306931 0.436411792263706 0.139834469321586 0.000176258947287089 0.00574781535650034
"gene-LOC134703421|LOC134703421" 49.4151877305604 0.526626268263773 0.116464449754142 5.36762735792002e-07 0.000107953973953473
"gene-LOC134703434|LOC134703434" 120.57466131679 0.437636724883633 0.105788035814708 3.90156411007379e-06 0.000354905437030397
"gene-LOC134692814|LOC134692814" 509.716963473079 -1.94951400093182 0.422621163506129 1.72221345953473e-07 6.61457539828708e-05
"gene-LOC134725552|LOC134725552" 1292.88820269487 -0.234058091699836 0.0814312725726542 0.00110637159698135 0.0225404193726849
"gene-LOC134725611|LOC134725611" 74.1508883499818 -0.767408743512893 0.33456413858969 0.000871638207284056 0.0189098079697399
"STRG.12640|LOC134704443" 76.890452260728 0.38007966798251 0.112498816526169 9.11867137284719e-05 0.0035566456703028
"STRG.12198|LOC134703472" 23.3413082962362 0.422281582271854 0.166554299564475 0.00104031256836412 0.0215330166346026
"STRG.12007|LOC134703106" 62.7678645090024 0.382441362184613 0.111818184400735 7.98961451789382e-05 0.00321132955622321
"gene-LOC134702766|LOC134702766" 33.4357793604182 0.469429339864306 0.149939302675868 0.000150446052153727 0.00514892924367704
"STRG.12251|LOC134703579" 65.1570713272874 0.41902054210984 0.106755493873122 9.8244165441802e-06 0.000653071792071466
"STRG.11797|LOC134702606" 34.9431445759065 0.456232783104991 0.139569288714336 0.0001011220869856 0.00389827524922181
"gene-LOC134715917|LOC134715917" 11.5366600057762 -0.653673184762987 0.262261971721907 0.000664800580375028 0.0153883527198416
"gene-LOC134703489|LOC134703489" 95.5725714262134 0.448684822674035 0.11636757560737 1.17899372218416e-05 0.000750071466199372
"STRG.12451|LOC134704076" 133.473138660447 0.431788249353666 0.107114409241638 6.01925095341625e-06 0.000458967885197989
"gene-LOC134692823|LOC134692823" 81.4026396031023 0.343227012949322 0.121146342400358 0.000640708493218154 0.0149642952132258
"gene-LOC134717897|LOC134717897" 24.023071945168 0.824871005311732 0.174432534974357 1.33614478721816e-07 5.54232857738093e-05
"gene-LOC134720552|LOC134720552" 40.3645913168994 -0.398151202678896 0.189291578852528 0.00314613769017206 0.0478379000690385
"gene-LOC134695419|LOC134695419" 184.437659754065 0.264301003099857 0.105996573443658 0.00271217590652178 0.0430708486227119
"gene-LOC134719439|LOC134719439" 158.480801056245 0.784507171121373 0.177059336140551 5.62151841223487e-07 0.000107953973953473
