"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"gene-LOC134720742|LOC134720742" 22.5300237699239 -0.0675891656376737 0.127880169153019 0.0953454582473287 0.453253645356171
"gene-LOC134721906|LOC134721906" 40.1188982100424 -0.0201446218572686 0.0988381073541852 0.616149054436608 0.907672839252263
"gene-LOC134706886|LOC134706886" 81.9965985094008 0.14915387474094 0.153716559378188 0.0464609631217192 0.312587935792103
"gene-LOC134697235|LOC134697235" 43.8397175266125 -0.0192001184849603 0.0996561335938721 0.61816741777414 0.907672839252263
"gene-LOC134696088|LOC134696088" 31.1064325153389 -0.0263605228730014 0.106915813762659 0.332401834250933 0.75603599006669
"gene-LOC134719021|LOC134719021" 11.113222719126 0.00158914210093562 0.100307463579228 0.96264173847149 NA
"gene-LOC134696282|LOC134696282" 9.54130397615015 -0.00861105059246227 0.102239022573199 0.765321106103863 NA
"gene-LOC134718494|LOC134718494" 7.50499286226814 0.00377661006429413 0.105539857460319 0.799932602438204 NA
"gene-LOC134694694|LOC134694694" 12.3078647500602 0.0240727911185219 0.106301950568799 0.365564530842135 NA
"gene-LOC134702776|LOC134702776" 218.277147663185 -0.0430370601865899 0.0878447044361545 0.429171234903091 0.822712937488413
"gene-LOC134718603|LOC134718603" 24.4184606501458 0.0160909510701464 0.104167078528834 0.546040784501339 0.887445876263164
"gene-LOC134696514|LOC134696514" 6.39956382563798 -0.0137684656348841 0.106975972964113 0.152926850656292 NA
"gene-LOC134683568|LOC134683568" 189.601931947621 0.122980527683252 0.0832657507326121 0.0456705755388826 0.308748914903861
"gene-LOC134680973|LOC134680973" 126.378300088246 -0.0505710757587843 0.120712803177967 0.0591581891996532 0.354115102038797
"gene-LOC134724878|LOC134724878" 13.2257135714171 -0.0269040318120855 0.106665507469987 0.34627182667576 NA
"gene-LOC134711659|LOC134711659" 10.221276704512 0.0218446568946971 0.107788326190436 0.225559915939627 NA
"gene-LOC134705893|LOC134705893" 9.8312341643618 0.00881276454702591 0.105996407679134 0.421178105649832 NA
"gene-LOC134696539|LOC134696539" 131.580969425768 -0.0737097839437997 0.117288566379721 0.158311994053736 0.573749631253642
"gene-LOC134693343|LOC134693343" 93.9412776242321 0.107067934584518 0.1668118642507 0.0492145360616271 0.323673128555121
"gene-LOC134687903|LOC134687903" 96.9499240051639 0.0287460953691152 0.103879539941478 0.432361321602321 0.825664991288152
"gene-LOC134712513|LOC134712513" 31.648690618094 0.00262308845872791 0.0999815312521837 0.93557297169953 0.982869361833309
"gene-LOC134721348|LOC134721348" 59.0239524711964 -0.0288734538461505 0.0818354235761829 0.604198443599225 0.904264692147952
"gene-LOC134687455|LOC134687455" 372.62948357343 0.0908648943886414 0.0999979636275204 0.15325900084225 0.564790777500507
"gene-LOC134724722|LOC134724722" 10.307577492755 -0.00333539693630536 0.103122417654279 0.889344572950034 NA
"gene-LOC134701655|LOC134701655" 9.97137604618649 0.0255008736685927 0.107961469358565 0.262703440290833 NA
"gene-LOC134696665|LOC134696665" 121.996735613081 0.30106006350904 0.121445180476705 0.00109532166174512 0.0442157434028603
"gene-LOC134715138|LOC134715138" 155.299240461653 0.255573519774766 0.295581440391092 0.0146411034789538 0.18495546571186
"gene-LOC134725867|LOC134725867" 30.3160330107283 -0.111268871664252 0.159698165179146 0.06205203681326 0.363474883866102
"gene-LOC134685599|LOC134685599" 92.3449492588651 1.17916602572242 0.584096932923708 0.00109289403124681 0.0442157434028603
"gene-LOC134695216|LOC134695216" 10.2962239895808 -0.00251364130345909 0.105762770068258 0.758320714341609 NA
"gene-LOC134710133|LOC134710133" 7.26724580462992 -0.00422621351586154 0.105474384016717 0.720176011943961 NA
"gene-LOC134686691|LOC134686691" 11.2489241928909 0.00233885245587823 0.103617654774629 0.91320692173491 NA
"gene-LOC134684278|LOC134684278" 18.3541132766746 -0.0689725192946648 0.126642159496654 0.110729272925193 NA
"gene-LOC134705761|LOC134705761" 8.06149412301476 -0.0203947014095437 0.101430848788878 0.569194245724072 NA
"gene-LOC134725267|LOC134725267" 62.9903198443764 -0.0525881791720223 0.0948520136797521 0.334866911492434 0.756854537666362
"gene-LOC134683075|LOC134683075" 13.887111933646 0.0934084485330217 0.161046226151847 0.0309161066251878 NA
"gene-LOC134708220|LOC134708220" 121.547626244132 -0.0361758452492137 0.0968521165032351 0.456917843121522 0.843712069688726
"gene-LOC134701246|LOC134701246" 191.379913151422 -0.00796554889065043 0.0940137904742207 0.849862856928461 0.970130778917949
"gene-LOC134722146|LOC134722146" 387.921392109081 -0.0387399324279233 0.0859230056046151 0.472244974587226 0.854204767241044
"gene-LOC134712648|LOC134712648" 33.4825881135497 -0.0384046969978553 0.109088340860067 0.268630660627755 0.700654199869793
"gene-LOC134695228|LOC134695228" 301.236356300213 0.107085203137223 0.120335386661449 0.098902133320163 0.46312572296055
"gene-LOC134721243|LOC134721243" 12.3201712467366 -0.0192003937614672 0.105037566940344 0.460957789845751 NA
"gene-LOC134715580|LOC134715580" 24.2154995099684 -0.0119402708581373 0.098612687911596 0.753248464384814 0.947495919383763
"gene-LOC134698487|LOC134698487" 162.1125925603 -0.0178842913617882 0.0627168443273549 0.723641330320164 0.938903176012269
"gene-LOC134686824|LOC134686824" 56.7144624981698 0.0143194876292505 0.107430313771318 0.802414208081549 0.960320078724732
"gene-LOC134681019|LOC134681019" 8.0322945577738 0.00525034596393918 0.105797152410376 0.587709571206486 NA
"gene-LOC134699386|LOC134699386" 12.8980045319678 0.0134604544808294 0.101148054408566 0.688340287239797 NA
"gene-LOC134721509|LOC134721509" 10.895413664424 -0.0126612374051421 0.106514815198593 0.2798999960725 NA
"gene-LOC134691508|LOC134691508" 13.7066978816332 -0.00698498357880406 0.10528425141036 0.641572072904537 NA
"gene-LOC134695651|LOC134695651" 18.9186326673038 -0.0116239974895658 0.103817599239639 0.6390283910305 0.913014402780068
"gene-LOC134681186|LOC134681186" 29.7963531547245 0.0073377663729309 0.092192703601084 0.872476508794791 0.974740630244147
"gene-LOC134709790|LOC134709790" 14.5482240178279 0.0387093583864043 0.110148571053792 0.242925176078818 NA
"gene-LOC134724530|LOC134724530" 2114.55618728945 0.0104547583889708 0.0645515324571176 0.840937611985327 0.967684434237375
"gene-LOC134696421|LOC134696421" 22.6536224421087 -0.0359272829405539 0.106892975679844 0.330937210403998 0.75603599006669
"gene-LOC134715169|LOC134715169" 21.817905013384 0.0548614169091657 0.121023547128675 0.100960111499681 0.468302957458754
"gene-LOC134709968|LOC134709968" 96.1174187548934 0.0333103104241426 0.0789138028158863 0.53992085356266 0.886265859855253
"gene-LOC134681337|LOC134681337" 83.9044964364191 0.0227081716178507 0.0732213457099737 0.670657977006264 0.923633120587915
"gene-LOC134725666|LOC134725666" 26.6719985827987 -0.0145900969332947 0.101554732487267 0.655095786679835 0.918819038851294
"gene-LOC134721116|LOC134721116" 57.9388987866033 -0.113408391779174 0.113477196517716 0.0871686047207548 0.433644754405871
"gene-LOC134714911|LOC134714911" 11.6988315690559 0.0111670543101429 0.0996168145867831 0.74769093447934 NA
"gene-LOC134701892|LOC134701892" 20.5260404648364 -0.00224559948332848 0.100019044016718 0.945923900034598 0.985910699034838
"gene-LOC134725634|LOC134725634" 82.5721362966364 -0.0380079639083429 0.102455750710055 0.392249871256908 0.802476546098972
"gene-LOC134714908|LOC134714908" 31.8666395396956 -0.0113376685867945 0.105239431060451 0.553973142998747 0.890529008710046
"gene-LOC134690293|LOC134690293" 13.0875667734695 0.0261650429980215 0.107261564425569 0.319702521272701 NA
"gene-LOC134692139|LOC134692139" 32.2740537950508 0.00618657096868791 0.0921251695693622 0.895479322133728 0.97566421478525
"gene-LOC134722143|LOC134722143" 37.0581362356102 0.0125647062398529 0.082972487378021 0.808442289715308 0.961223349566442
"gene-LOC134714175|LOC134714175" 120.374576784159 -0.102687373277407 0.176196072479208 0.0233236487643412 0.230449066604265
"gene-LOC134703876|LOC134703876" 126.066596888968 0.0474395102988158 0.0810878046822985 0.404827438614782 0.806465150329073
"gene-LOC134719263|LOC134719263" 8.57543750957432 -0.00769425759905372 0.0994261425270606 0.823273712712964 NA
"gene-LOC134711610|LOC134711610" 9.5105799473025 -0.0907241215764162 0.155934148161257 0.0370276152090607 NA
"gene-LOC134707222|LOC134707222" 10.2791145635183 -0.0179417572687864 0.106966554407892 0.276943651901901 NA
"gene-LOC134715431|LOC134715431" 10.676934468869 -0.00460511685351839 0.10301357867009 0.850205845427416 NA
"gene-LOC134691519|LOC134691519" 75.8572600979843 0.0356708641171819 0.101499711876013 0.421394064716126 0.816595474959935
"gene-LOC134713699|LOC134713699" 100.199599211904 -0.017367285584488 0.105091837524999 0.474386912920129 0.854376186798357
"gene-LOC134697304|LOC134697304" 22.5678686429272 0.0165009631004744 0.10359571073036 0.56380731215392 0.893730097121898
"gene-LOC134680709|LOC134680709" 27.8219918553689 0.0140414570560419 0.0964465991361035 0.738239170973939 0.942922585969164
"gene-LOC134715750|LOC134715750" 413.267887907154 -0.0109862027934625 0.0720957121525105 0.834632271715078 0.966578979326531
"gene-LOC134694854|LOC134694854" 8.19662694965667 -0.00415924320326429 0.105580756454319 0.701412803784021 NA
"gene-LOC134696437|LOC134696437" 57.599715531069 0.020467661611924 0.108129639731003 0.211868989467018 0.650138830063929
"gene-LOC134706975|LOC134706975" 24.4669848391421 -0.073437105388469 0.123847081112241 0.137467230734217 0.540618515506972
"gene-LOC134712133|LOC134712133" 14.4984826998668 -0.0814053732567344 0.151115232315709 0.0161010592718233 NA
"gene-LOC134718784|LOC134718784" 13.7052266392905 -0.00721916271018805 0.105219295297643 0.630749854364418 NA
"gene-LOC134711095|LOC134711095" 11.4028325118343 -0.057639998143178 0.120418799336037 0.129575846245445 NA
"gene-LOC134707602|LOC134707602" 33.6363225699872 -0.141922614009078 0.205263872184429 0.0362815473128548 0.275291966329883
"gene-LOC134708214|LOC134708214" 9.66979187193498 0.028065924151186 0.108044821809278 0.276941454119124 NA
"gene-LOC134705096|LOC134705096" 13.0298498616383 -0.0198524515936716 0.108181544510862 0.0957185476948608 NA
"gene-LOC134697243|LOC134697243" 18.952346903283 -0.0558971604383005 0.114229814864664 0.203350025025392 0.639933458533672
"gene-LOC134715517|LOC134715517" 63.8642409746065 -0.00135103707046292 0.105741343861672 0.85718255799076 0.971795147659392
"gene-LOC134721955|LOC134721955" 62.5533386176674 -0.0491277823430294 0.112845929565553 0.21278180950411 0.650641967463012
"gene-LOC134695400|LOC134695400" 62.5849378850548 0.544531624905603 0.341944153341985 0.00311521486239908 0.0875250767739645
"gene-LOC134708256|LOC134708256" 62.7600507900984 0.00155920218085647 0.0809975072128348 0.980202837171053 0.995320475512676
"gene-LOC134689812|LOC134689812" 61.1299646374006 0.0133560698637848 0.107012947608876 0.10571195498895 0.478119399877006
"gene-LOC134686326|LOC134686326" 12.6306722446258 0.0342552449522269 0.10847856929368 0.279887964448539 NA
"gene-LOC134721045|LOC134721045" 9.21881591576584 -0.0102119552208072 0.104860052893302 0.600841959362354 NA
"gene-LOC134716133|LOC134716133" 48.0828087458674 0.028108676420393 0.0837283541016614 0.597499703796706 0.90099568902277
