Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
T004FX_S222_L002_R1_001	22.582908567319365	35.0	101.0	18.181818181818183	3436078.0
T004F_S103_L001_R1_001	27.20149645378497	37.0	101.0	18.181818181818183	2704843.0
T004F_S103_L002_R1_001	26.90290474144632	37.0	101.0	18.181818181818183	2711532.0
T004G_S115_L001_R1_001	13.968961779212236	35.0	101.0	18.181818181818183	2256891.0
T004G_S115_L002_R1_001	13.516056297238478	35.0	101.0	18.181818181818183	2259890.0
T005FX_S223_L001_R1_001	23.350047989395705	33.0	101.0	18.181818181818183	3322874.0
T005FX_S223_L002_R1_001	22.631512666378768	33.0	101.0	18.181818181818183	3344247.0
T005F_S104_L001_R1_001	28.651159645779913	36.0	101.0	18.181818181818183	2398254.0
T005F_S104_L002_R1_001	28.498991503927613	36.0	101.0	18.181818181818183	2402777.0
T005G_S116_L001_R1_001	14.923329263993978	34.0	101.0	18.181818181818183	3211551.0
T005G_S116_L002_R1_001	14.769124504011117	34.0	101.0	18.181818181818183	3231083.0
T006FX_S224_L001_R1_001	25.74164215982219	32.0	101.0	27.27272727272727	3776391.0
T006FX_S224_L002_R1_001	25.017620802947462	32.0	101.0	27.27272727272727	3801648.0
T006F_S105_L001_R1_001	29.175777833050063	35.0	101.0	18.181818181818183	2772169.0
T006F_S105_L002_R1_001	28.537537168328114	35.0	101.0	18.181818181818183	2782396.0
T006G_S117_L001_R1_001	15.900505345865994	33.0	101.0	18.181818181818183	3179702.0
T006G_S117_L002_R1_001	15.541492489393463	33.0	101.0	18.181818181818183	3192929.0
T007FX_S225_L001_R1_001	26.995524194089384	38.0	101.0	18.181818181818183	2461502.0
T007FX_S225_L002_R1_001	26.469330881998772	38.0	101.0	18.181818181818183	2465200.0
T007F_S106_L001_R1_001	30.283497385926708	36.0	101.0	18.181818181818183	3166622.0
T007F_S106_L002_R1_001	29.970057045098912	36.0	101.0	18.181818181818183	3170689.0
T007G_S118_L001_R1_001	13.30987181105499	35.0	101.0	18.181818181818183	2282716.0
T007G_S118_L002_R1_001	12.969709187885783	35.0	101.0	18.181818181818183	2285912.0
T008FX_S226_L001_R1_001	23.700730556191445	33.0	101.0	18.181818181818183	2532593.0
T008FX_S226_L002_R1_001	23.369819791697395	33.0	101.0	18.181818181818183	2546922.0
T008F_S107_L001_R1_001	29.640411622474616	35.0	101.0	18.181818181818183	3609710.0
T008F_S107_L002_R1_001	29.155299008560092	35.0	101.0	18.181818181818183	3624593.0
T008G_S119_L001_R1_001	16.780321987819917	34.0	101.0	18.181818181818183	3747951.0
T008G_S119_L002_R1_001	16.454482556551326	34.0	101.0	18.181818181818183	3767026.0
T009FX_S227_L001_R1_001	24.843462037217705	32.0	101.0	18.181818181818183	3247947.0
T009FX_S227_L002_R1_001	24.570012218901553	32.0	101.0	18.181818181818183	3273443.0
T009F_S108_L001_R1_001	26.822315087169386	32.0	101.0	27.27272727272727	3224315.0
T009F_S108_L002_R1_001	26.572457449973	32.0	101.0	27.27272727272727	3248743.0
T009G_S120_L001_R1_001	15.073381262262004	34.0	101.0	18.181818181818183	3151860.0
T009G_S120_L002_R1_001	14.8644841795534	34.0	101.0	18.181818181818183	3164440.0
T010FX_S228_L001_R1_001	22.336861069109588	34.0	101.0	18.181818181818183	2578252.0
T010FX_S228_L002_R1_001	21.96832195982499	34.0	101.0	18.181818181818183	2589657.0
T010F_S109_L001_R1_001	27.478996707216112	37.0	101.0	18.181818181818183	3077604.0
T010F_S109_L002_R1_001	27.104862637128775	37.0	101.0	18.181818181818183	3085237.0
T010G_S121_L001_R1_001	14.626140379902182	34.0	101.0	18.181818181818183	2678522.0
T010G_S121_L002_R1_001	14.370263887837893	34.0	101.0	18.181818181818183	2683541.0
T011FX_S229_L001_R1_001	21.988433805708226	33.0	101.0	18.181818181818183	2824472.0
T011FX_S229_L002_R1_001	21.744273764270133	33.0	101.0	18.181818181818183	2834813.0
T011F_S110_L001_R1_001	23.64916390039518	33.0	101.0	18.181818181818183	2508218.0
T011F_S110_L002_R1_001	23.25025242220096	33.0	101.0	18.181818181818183	2520516.0
T011G_S122_L001_R1_001	14.133145959806498	34.0	101.0	18.181818181818183	2710481.0
T011G_S122_L002_R1_001	13.85779942816518	34.0	101.0	18.181818181818183	2720662.0
T012FX_S230_L001_R1_001	22.03349628166744	33.0	101.0	18.181818181818183	3246022.0
T012FX_S230_L002_R1_001	21.99025073195959	33.0	101.0	18.181818181818183	3268713.0
T012F_S111_L001_R1_001	24.854646051516355	33.0	101.0	18.181818181818183	3604916.0
T012F_S111_L002_R1_001	24.386776669553953	33.0	101.0	18.181818181818183	3632571.0
T012G_S123_L001_R1_001	14.316131467689985	35.0	101.0	18.181818181818183	2424012.0
T012G_S123_L002_R1_001	14.111382671720648	35.0	101.0	18.181818181818183	2427457.0
T014F_S171_L001_R1_001	25.584273774260453	32.0	101.0	18.181818181818183	3240450.0
T014F_S171_L002_R1_001	24.759699179016977	32.0	101.0	18.181818181818183	3236994.0
T014G_S183_L001_R1_001	15.329478649992907	35.0	101.0	18.181818181818183	2763740.0
T014G_S183_L002_R1_001	15.250872332504187	35.0	101.0	18.181818181818183	2765688.0
T015F_S172_L001_R1_001	24.131097347063573	31.0	101.0	18.181818181818183	3783419.0
T015F_S172_L002_R1_001	23.66310141553859	32.0	101.0	18.181818181818183	3807434.0
T015G_S184_L001_R1_001	16.118907655636576	34.0	101.0	18.181818181818183	2915425.0
T015G_S184_L002_R1_001	15.756646562923208	34.0	101.0	18.181818181818183	2920129.0
T016F_S173_L001_R1_001	24.80102697026777	30.0	101.0	18.181818181818183	3137118.0
T016F_S173_L002_R1_001	24.62472487097169	30.0	101.0	18.181818181818183	3166147.0
T016G_S185_L001_R1_001	14.333306596282341	33.0	101.0	18.181818181818183	2558511.0
T016G_S185_L002_R1_001	13.898276198095516	33.0	101.0	18.181818181818183	2558390.0
T017F_S174_L001_R1_001	21.368466439263216	31.0	101.0	18.181818181818183	2926485.0
T017F_S174_L002_R1_001	21.045658563055525	31.0	101.0	18.181818181818183	2933857.0
T017G_S186_L001_R1_001	14.370974866403103	34.0	101.0	18.181818181818183	2506004.0
T017G_S186_L002_R1_001	14.28418168246914	34.0	101.0	18.181818181818183	2502447.0
T019F_S175_L001_R1_001	22.36223898850541	31.0	101.0	18.181818181818183	3468823.0
T019F_S175_L002_R1_001	21.7883905562027	31.0	101.0	18.181818181818183	3490167.0
T019G_S187_L001_R1_001	14.541176422942186	35.0	101.0	18.181818181818183	2528567.0
T019G_S187_L002_R1_001	14.433922056798849	35.0	101.0	18.181818181818183	2537859.0
T021F_S176_L001_R1_001	18.826347498196213	32.0	101.0	18.181818181818183	3031221.0
T021F_S176_L002_R1_001	18.58264777687795	32.0	101.0	18.181818181818183	3055782.0
T021G_S188_L001_R1_001	12.924830674001868	33.0	101.0	18.181818181818183	2742355.0
T021G_S188_L002_R1_001	12.75467158586791	33.0	101.0	18.181818181818183	2751967.0
T023F_S177_L001_R1_001	21.716414422380097	32.0	101.0	18.181818181818183	3480158.0
T023F_S177_L002_R1_001	21.529447606634662	32.0	101.0	18.181818181818183	3496111.0
T023G_S189_L001_R1_001	14.684687409963487	34.0	101.0	18.181818181818183	2612773.0
T023G_S189_L002_R1_001	14.50543463811502	34.0	101.0	18.181818181818183	2612997.0
T025F_S178_L001_R1_001	17.92611563167064	34.0	101.0	18.181818181818183	2687757.0
T025F_S178_L002_R1_001	17.610158576442075	34.0	101.0	18.181818181818183	2695452.0
T025G_S190_L001_R1_001	17.083860874812558	35.0	101.0	18.181818181818183	2579373.0
T025G_S190_L002_R1_001	16.924107167006824	35.0	101.0	18.181818181818183	2590219.0
T026F_S179_L001_R1_001	24.939507866781042	31.0	101.0	18.181818181818183	3475505.0
T026F_S179_L002_R1_001	24.412755548843023	31.0	101.0	18.181818181818183	3499953.0
T026G_S191_L001_R1_001	16.147039944740555	33.0	101.0	18.181818181818183	3132289.0
T026G_S191_L002_R1_001	15.831199181298999	33.0	101.0	18.181818181818183	3136763.0
T027F_S180_L001_R1_001	23.54519230651387	30.0	101.0	18.181818181818183	3624906.0
T027F_S180_L002_R1_001	22.94945158512833	30.0	101.0	18.181818181818183	3644832.0
T027G_S192_L001_R1_001	13.631486946537478	34.0	101.0	18.181818181818183	2200362.0
T027G_S192_L002_R1_001	13.361017912061214	34.0	101.0	18.181818181818183	2200281.0
T029F_S195_L001_R1_001	20.681062091648457	36.0	101.0	18.181818181818183	2844470.0
T029F_S195_L002_R1_001	20.253037802483334	36.0	101.0	18.181818181818183	2848790.0
T029G_S207_L001_R1_001	13.382035806469332	34.0	101.0	18.181818181818183	2719136.0
T029G_S207_L002_R1_001	13.347756755699393	34.0	101.0	18.181818181818183	2740726.0
T030F_S196_L001_R1_001	21.917894870125195	32.0	101.0	18.181818181818183	3281144.0
T030F_S196_L002_R1_001	21.426103699247236	32.0	101.0	18.181818181818183	3297256.0
T030G_S208_L001_R1_001	14.326108140225628	35.0	101.0	18.181818181818183	2809175.0
T131G_S141_L001_R1_001	14.297796915627742	34.0	101.0	18.181818181818183	3350716.0
T131G_S141_L002_R1_001	14.071425810473713	34.0	101.0	18.181818181818183	3370220.0
T132F_S130_L001_R1_001	23.37818507459245	32.0	101.0	18.181818181818183	3113068.0
T132F_S130_L002_R1_001	23.175313530965212	32.0	101.0	18.181818181818183	3121221.0
T132G_S142_L001_R1_001	13.976336402559085	35.0	101.0	18.181818181818183	2138248.0
T132G_S142_L002_R1_001	13.542180725286329	35.0	101.0	18.181818181818183	2141989.0
T133F_S131_L001_R1_001	18.632868755699846	33.0	101.0	18.181818181818183	2549618.0
T133F_S131_L002_R1_001	18.43532348441815	33.0	101.0	18.181818181818183	2561315.0
T133G_S143_L001_R1_001	15.919921492765951	36.0	101.0	18.181818181818183	3342699.0
T133G_S143_L002_R1_001	15.567200045257408	36.0	101.0	18.181818181818183	3348611.0
T134F_S132_L001_R1_001	23.47422851012624	33.0	101.0	18.181818181818183	3558980.0
T134F_S132_L002_R1_001	23.036971113884817	33.0	101.0	18.181818181818183	3574762.0
T134G_S144_L001_R1_001	13.881656394002363	35.0	101.0	18.181818181818183	2948211.0
T134G_S144_L002_R1_001	13.659497203489607	35.0	101.0	18.181818181818183	2951877.0
T135F_S133_L001_R1_001	21.938701110381643	32.0	101.0	18.181818181818183	3778461.0
T135F_S133_L002_R1_001	21.644836298157372	32.0	101.0	18.181818181818183	3808328.0
T135G_S145_L001_R1_001	15.001185742292805	35.0	101.0	18.181818181818183	2488023.0
T135G_S145_L002_R1_001	14.821290845420435	35.0	101.0	18.181818181818183	2495231.0
T136F_S134_L001_R1_001	20.90079756338055	32.0	101.0	18.181818181818183	3452397.0
T136F_S134_L002_R1_001	20.41786081698679	32.0	101.0	18.181818181818183	3474289.0
T136G_S146_L001_R1_001	15.644465122434212	35.0	101.0	18.181818181818183	2462159.0
T136G_S146_L002_R1_001	15.382017281314901	35.0	101.0	18.181818181818183	2473966.0
T137F_S135_L001_R1_001	23.50695617295476	32.0	101.0	18.181818181818183	3447346.0
T137F_S135_L002_R1_001	23.303504310501438	32.0	101.0	18.181818181818183	3470048.0
T137G_S147_L001_R1_001	12.170539458647895	34.0	101.0	18.181818181818183	2841068.0
T137G_S147_L002_R1_001	11.89644974834809	34.0	101.0	18.181818181818183	2855293.0
