sample,mussel,tissue,treatment,day,group,secretion_score,log2cpm_mfp2,log2cpm_mfp4,log2cpm_FP10,log2cpm_FP12,log2cpm_FP15,log2cpm_tyrosinase1,log2cpm_preColD,log2cpm_ACDC,secretion_state,on_threshold,on_rule
T014F,T014,F,OA,3,OA,2.4947038778576958,4.832962229950744,0,4.944540464648003,5.190720572547429,0,0,4.356156292925202,4.509186740041461,off,4.974537613868024,gap
T015F,T015,F,OA,3,OA,9.806242369712669,12.279809005128538,6.699308154311969,11.864780906464587,12.71435116640899,9.446993505119348,5.8322114808425765,9.154210312323661,5.10447756804137,on,4.974537613868024,gap
T016F,T016,F,OA,3,OA,0,0,0,0,0,0,0,0,5.525299188125631,off,4.974537613868024,gap
T017F,T017,F,OA,3,OA,3.54498441667679,6.551757308396072,1.810867580356233,0,8.202115304605806,4.705166306702629,0,3.887225665692343,0,off,4.974537613868024,gap
T019F,T019,F,OA,3,OA,0,0,0,0,0,0,0,2.2929172544171643,5.871148463472921,off,4.974537613868024,gap
T021F,T021,F,OA,3,OA,0,0,0,0,0,0,0,3.7626427336712984,6.494292917892192,off,4.974537613868024,gap
T023F,T023,F,OA,3,OA,0.30599063400486914,0,0,0,1.8359438040292149,0,0,3.6997249821515354,5.208699985172363,off,4.974537613868024,gap
T025F,T025,F,OA,3,OA,1.271322501541359,0,0,4.356195255399961,3.271739753848192,0,0,3.271739753848192,0,off,4.974537613868024,gap
T026F,T026,F,OA,3,OA,0,0,0,0,0,0,0,3.1404538480180917,5.242463565932008,off,4.974537613868024,gap
T027F,T027,F,OA,3,OA,0,0,0,0,0,0,0,3.5196705544968117,3.5196705544968117,off,4.974537613868024,gap
T118F,T118,F,OA,3,OA,9.3163578599627,10.614443415916886,7.739054517305041,10.892800162630468,12.475400297597329,8.64609479249428,5.530353973832193,8.478268743661374,3.72474089080749,on,4.974537613868024,gap
T119F,T119,F,OA,3,OA,0.4657085518899105,0,0,2.794251311339463,0,0,0,3.4455300115303675,6.093448182621885,off,4.974537613868024,gap
T029F,T029,F,OW,3,OW,10.881343859193242,12.640277718998128,9.482934037738778,12.581338036135463,13.102356716455919,9.42235783718161,8.058798808649556,6.162201805463165,5.7081974451891675,on,4.974537613868024,gap
T030F,T030,F,OW,3,OW,2.9110556931735907,5.266929997998506,0,4.91502578694209,4.91502578694209,0,2.3693525871588563,7.558567214604524,3.6391746346507383,off,4.974537613868024,gap
T031F,T031,F,OW,3,OW,9.18407202789748,11.469000624325549,8.445493583171658,11.173949134661608,11.34400462077109,7.480983131538209,5.19100107291677,5.228435539054469,5.402291165409681,on,4.974537613868024,gap
T033F,T033,F,OW,3,OW,0.42261792860601827,0,0,2.5357075716361095,0,0,0,2.7566676998217026,4.6434556009223975,off,4.974537613868024,gap
T034F,T034,F,OW,3,OW,0.5028990353652042,0,0,0,3.0173942121912254,0,0,2.601533155346179,3.339816216052714,off,4.974537613868024,gap
T035F,T035,F,OW,3,OW,0,0,0,0,0,0,0,3.8745659478328744,0,off,4.974537613868024,gap
T036F,T036,F,OW,3,OW,0.44640907367895094,0,0,2.6784544420737055,0,0,0,3.5611299051603886,0,off,4.974537613868024,gap
T037F,T037,F,OW,3,OW,8.538177057275435,10.64248624896365,7.22947832611609,10.765597145307218,10.945637957098207,7.106763135118365,4.539099531049082,3.307372837933484,0,on,4.974537613868024,gap
T038F,T038,F,OW,3,OW,2.8983088981140166,4.942903911322482,0,4.990249189007682,5.428681115065104,0,2.028019173288832,3.3554863890838877,4.034939757815105,off,4.974537613868024,gap
T039F,T039,F,OW,3,OW,0,0,0,0,0,0,0,3.5069354390732843,2.6285668683553824,off,4.974537613868024,gap
T040F,T040,F,OW,3,OW,10.244238550580912,12.494939127270241,8.001871625517557,11.941457696723496,12.953310332860061,9.795873384465121,6.277979136648995,8.35750850133509,4.3762670459956805,on,4.974537613868024,gap
T041F,T041,F,OW,3,OW,0.48134112237762355,0,0,0,2.888046734265741,0,0,3.3429356904915073,3.7871556053038904,off,4.974537613868024,gap
T126F,T126,F,control,3,control,9.830347572354084,12.2108413236107,8.379571801095265,10.484331510839828,12.125780269267697,9.371414552850382,6.410145976460629,10.646879570688261,4.610123435540188,on,4.974537613868024,gap
T127F,T127,F,control,3,control,5.813748805489043,7.476120531708576,4.538406786393666,7.852227154661631,7.9700974953551755,3.789682134196982,3.255958730618229,3.789682134196982,6.531653515677014,on,4.974537613868024,gap
T128F,T128,F,control,3,control,6.535964472760969,8.789792298145926,3.7497858678743707,8.469458862269349,8.397517788479195,5.224934144513849,4.584297875283125,2.9458154208227216,6.58239647376162,on,4.974537613868024,gap
T129F,T129,F,control,3,control,1.467817615636779,0,0,4.375397548037732,4.431508145782942,0,0,3.071793856529877,6.080521995991843,off,4.974537613868024,gap
T130F,T130,F,control,3,control,0,0,0,0,0,0,0,6.966227865985934,4.769736325126404,off,4.974537613868024,gap
T131F,T131,F,control,3,control,1.4198237342607392,3.078547616034579,0,3.2004414579504936,2.2399533315793625,0,0,3.3128340020210425,2.7986951835939697,off,4.974537613868024,gap
T132F,T132,F,control,3,control,0,0,0,0,0,0,0,2.9217764282314347,3.2884149021721623,off,4.974537613868024,gap
T133F,T133,F,control,3,control,9.741030024643917,11.73385781390141,8.4700463261012775,11.18043383639121,11.956820986684916,8.70460881959536,6.400412365189335,8.051644271882104,6.276433270283434,on,4.974537613868024,gap
T134F,T134,F,control,3,control,0.46916708002957747,0,0,0,2.8150024801774647,0,0,2.409333654959191,3.131280028166079,off,4.974537613868024,gap
T135F,T135,F,control,3,control,0,0,0,0,0,0,0,2.202334372172774,3.0364098256402237,off,4.974537613868024,gap
T136F,T136,F,control,3,control,5.75084195151673,7.471458910964366,4.076667500941633,7.091590225030677,7.878750662569904,4.904261089058803,3.0823233205349965,3.0823233205349965,5.29581804236612,on,4.974537613868024,gap
T137F,T137,F,control,3,control,3.1314624011818877,6.05995173961477,0,6.523417660648282,6.205405006828274,0,0,3.473798437087497,5.570050230853982,off,4.974537613868024,gap
