sample,species,trt,both_thread,sample,RNA_box,location,conc_ng_uL-1,vol_uL,yield_ng,yield_ug,add_sample,add_water,total_vol,RNA_ug,conc_ng_uL-1,,,,,
77,M. trossulus,T_OA_d3,1,T021F,2,A6,124,100,12400,12.4,21,39,60,2.6,43.3,2600,,foot,OA_d3,"M. trossulus, foot, OA_d3"
78,M. trossulus,T_OA_d3,1,T023F,2,A7,132,100,13200,13.2,20,40,60,2.64,44,2640,,foot,OA_d3,"M. trossulus, foot, OA_d3"
79,M. trossulus,T_OA_d3,1,T025F,2,A8,28.8,100,2880,2.88,80,0,80,2.3,28.8,2300,,foot,OA_d3,"M. trossulus, foot, OA_d3"
80,M. trossulus,T_OA_d3,1,T026F,2,A9,38.6,100,3860,3.86,65,0,65,2.51,38.6,2510,,foot,OA_d3,"M. trossulus, foot, OA_d3"
81,M. trossulus,T_OA_d3,1,T027F,2,B1,34.2,100,3420,3.42,65,0,65,2.22,34.2,2220,,foot,OA_d3,"M. trossulus, foot, OA_d3"
82,M. trossulus,T_OA_d3,0,T118F,2,B2,150,25,3750,3.75,18,42,60,2.7,45,2700,,foot,OA_d3,"M. trossulus, foot, OA_d3"
83,M. trossulus,T_OA_d3,0,T119F,2,B3,96,100,9600,9.6,27,33,60,2.59,43.2,2590,,foot,OA_d3,"M. trossulus, foot, OA_d3"
84,M. trossulus,T_OA_d3,1,T014G,2,B4,162,100,16200,16.2,16,44,60,2.59,43.2,2590,,gill,OA_d3,"M. trossulus, gill, OA_d3"
85,M. trossulus,T_OA_d3,1,T015G,2,B5,96.2,100,9620,9.62,27,33,60,2.6,43.3,2600,,gill,OA_d3,"M. trossulus, gill, OA_d3"
86,M. trossulus,T_OA_d3,1,T016G,2,B6,46.8,100,4680,4.68,54,6,60,2.53,42.2,2530,,gill,OA_d3,"M. trossulus, gill, OA_d3"
87,M. trossulus,T_OA_d3,1,T017G,2,B7,194,100,19400,19.4,14,46,60,2.72,45.3,2720,,gill,OA_d3,"M. trossulus, gill, OA_d3"
88,M. trossulus,T_OA_d3,1,T019G,2,B8,79.6,100,7960,7.96,32,28,60,2.55,42.5,2550,,gill,OA_d3,"M. trossulus, gill, OA_d3"
89,M. trossulus,T_OA_d3,1,T021G,2,B9,69.4,100,6940,6.94,37,23,60,2.57,42.8,2570,,gill,OA_d3,"M. trossulus, gill, OA_d3"
90,M. trossulus,T_OA_d3,1,T023G,2,C1,108,100,10800,10.8,24,36,60,2.59,43.2,2590,,gill,OA_d3,"M. trossulus, gill, OA_d3"
91,M. trossulus,T_OA_d3,1,T025G,2,C2,46,100,4600,4.6,55,5,60,2.53,42.2,2530,,gill,OA_d3,"M. trossulus, gill, OA_d3"
92,M. trossulus,T_OA_d3,1,T026G,2,C3,168,100,16800,16.8,16,44,60,2.69,44.8,2690,,gill,OA_d3,"M. trossulus, gill, OA_d3"
93,M. trossulus,T_OA_d3,1,T027G,2,C4,130,100,13000,13,20,40,60,2.6,43.3,2600,,gill,OA_d3,"M. trossulus, gill, OA_d3"
