Sample	Unique Reads	Duplicate Reads
B9-T056G_S165_L099_R1_cmb	2029592.0	1040455.0
C1-T003F_S102_L099_R1_cmb	928383.0	1336835.0
C1-T033F_S198_L099_R1_cmb	1643756.0	1300966.0
C10-T017F_S174_L099_R1_cmb	1351541.0	1043704.0
C11-T119F_S182_L099_R1_cmb	1143280.0	1355070.0
C12-T025G_S190_L099_R1_cmb	1613128.0	996348.0
C2-T011F_S110_L099_R1_cmb	901971.0	1114723.0
C2-T041F_S206_L099_R1_cmb	1491184.0	1493762.0
C3-T007G_S118_L099_R1_cmb	1589185.0	965491.0
C3-T037G_S214_L099_R1_cmb	1588172.0	948352.0
C4-T004FX_S222_L099_R1_cmb	1305520.0	1669007.0
C4-T128F_S126_L099_R1_cmb	1279259.0	1475317.0
C5-T012FX_S230_L099_R1_cmb	1251029.0	1406364.0
C5-T136F_S134_L099_R1_cmb	1571788.0	1388859.0
C6-T132G_S142_L099_R1_cmb	1571054.0	823324.0
C7-T051F_S150_L099_R1_cmb	320377.0	622326.0
C8-T112F_S158_L099_R1_cmb	1234063.0	1321643.0
C9-T057G_S166_L099_R1_cmb	2051866.0	1225170.0
D1-T004F_S103_L099_R1_cmb	880364.0	1412259.0
D1-T034F_S199_L099_R1_cmb	1301525.0	1263599.0
D10-T019F_S175_L099_R1_cmb	1391828.0	1414048.0
D11-T014G_S183_L099_R1_cmb	1919729.0	1050454.0
D12-T026G_S191_L099_R1_cmb	2041011.0	1109660.0
D2-T012F_S111_L099_R1_cmb	1264954.0	1604980.0
D2-T029G_S207_L099_R1_cmb	2012935.0	987297.0
D3-T008G_S119_L099_R1_cmb	2353516.0	1510965.0
D3-T038G_S215_L099_R1_cmb	2023783.0	1179884.0
D4-T005FX_S223_L099_R1_cmb	1139401.0	1480965.0
D4-T129F_S127_L099_R1_cmb	1376558.0	1764916.0
D5-T137F_S135_L099_R1_cmb	1344176.0	1384618.0
D6-T133G_S143_L099_R1_cmb	2208105.0	1433614.0
D7-T052F_S151_L099_R1_cmb	1497643.0	1633157.0
D8-T046G_S159_L099_R1_cmb	1921757.0	1095004.0
D9-T058G_S167_L099_R1_cmb	2231509.0	1272202.0
E1-T005F_S104_L099_R1_cmb	763688.0	1104186.0
E1-T035F_S200_L099_R1_cmb	1400467.0	1172446.0
E10-T021F_S176_L099_R1_cmb	1646262.0	1056732.0
E11-T015G_S184_L099_R1_cmb	2013102.0	1031993.0
E12-T027G_S192_L099_R1_cmb	1619162.0	795479.0
E2-T001G_S112_L099_R1_cmb	1871209.0	1123987.0
E2-T030G_S208_L099_R1_cmb	2055921.0	1066311.0
E3-T009G_S120_L099_R1_cmb	2034847.0	1276507.0
E3-T039G_S216_L099_R1_cmb	1455219.0	844513.0
E4-T006FX_S224_L099_R1_cmb	1254833.0	1365085.0
E4-T130F_S128_L099_R1_cmb	1095418.0	1266043.0
E5-T126G_S136_L099_R1_cmb	1836045.0	1054772.0
E6-T134G_S144_L099_R1_cmb	2195678.0	1158551.0
E7-T055F_S152_L099_R1_cmb	1444605.0	1551880.0
E8-T047G_S160_L099_R1_cmb	2115758.0	1184885.0
E9-T110G_S168_L099_R1_cmb	1924211.0	1063205.0
F1-T006F_S105_L099_R1_cmb	898036.0	1128128.0
F1-T036F_S201_L099_R1_cmb	1041172.0	966233.0
F10-T023F_S177_L099_R1_cmb	1480483.0	1435390.0
F11-T016G_S185_L099_R1_cmb	1801227.0	920794.0
F12-T118G_S193_L099_R1_cmb	1551769.0	839286.0
F2-T002G_S113_L099_R1_cmb	1511721.0	860894.0
F2-T031G_S209_L099_R1_cmb	1468477.0	837196.0
F3-T010G_S121_L099_R1_cmb	1770435.0	1088772.0
F3-T040G_S217_L099_R1_cmb	1789082.0	1105436.0
F4-T007FX_S225_L099_R1_cmb	898487.0	1177414.0
F4-T131F_S129_L099_R1_cmb	1434308.0	1813974.0
F5-T127G_S137_L099_R1_cmb	1511251.0	907724.0
F6-T135G_S145_L099_R1_cmb	1686592.0	1033768.0
F7-T056F_S153_L099_R1_cmb	1154723.0	1315595.0
F8-T049G_S161_L099_R1_cmb	1814494.0	953003.0
F9-T111G_S169_L099_R1_cmb	1235214.0	584523.0
G1-T007F_S106_L099_R1_cmb	909062.0	1540450.0
G1-T037F_S202_L099_R1_cmb	1095148.0	1178293.0
G10-T025F_S178_L099_R1_cmb	1432540.0	1178904.0
G11-T017G_S186_L099_R1_cmb	1727186.0	960364.0
G12-T119G_S194_L099_R1_cmb	1893182.0	1086795.0
G2-T003G_S114_L099_R1_cmb	1693852.0	1014326.0
G2-T033G_S210_L099_R1_cmb	1554708.0	790781.0
G3-T011G_S122_L099_R1_cmb	1864247.0	1082982.0
G3-T041G_S218_L099_R1_cmb	1806129.0	1169684.0
G4-T008FX_S226_L099_R1_cmb	865692.0	1096095.0
G4-T132F_S130_L099_R1_cmb	1126019.0	1267595.0
G5-T128G_S138_L099_R1_cmb	1854116.0	1080627.0
G6-T136G_S146_L099_R1_cmb	1638130.0	1009850.0
G7-T057F_S154_L099_R1_cmb	1475194.0	1812466.0
G8-T051G_S162_L099_R1_cmb	350605.0	425375.0
G9-T112G_S170_L099_R1_cmb	2211301.0	1185848.0
H1-T008F_S107_L099_R1_cmb	1103186.0	1668429.0
H1-T038F_S203_L099_R1_cmb	1101498.0	1308341.0
H10-T026F_S179_L099_R1_cmb	1284851.0	1265012.0
H11-T019G_S187_L099_R1_cmb	1744331.0	1043820.0
H12-T029F_S195_L099_R1_cmb	1301152.0	1375985.0
H2-T004G_S115_L099_R1_cmb	1564501.0	889628.0
H2-T034G_S211_L099_R1_cmb	1983405.0	973576.0
H3-T001FX_S219_L099_R1_cmb	951537.0	1415393.0
H3-T012G_S123_L099_R1_cmb	1589402.0	1022114.0
H4-T009FX_S227_L099_R1_cmb	1105033.0	1263856.0
H4-T133F_S131_L099_R1_cmb	1265342.0	1073955.0
H5-T129G_S139_L099_R1_cmb	2009202.0	1058656.0
H6-T137G_S147_L099_R1_cmb	2245066.0	1060077.0
H7-T058F_S155_L099_R1_cmb	1853347.0	1388170.0
H8-T052G_S163_L099_R1_cmb	1633366.0	913745.0
H9-T014F_S171_L099_R1_cmb	1140869.0	1207024.0
