Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
E11-T015G_S184_L099_R1_cmb	E11-T015G_S184_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3045095.0	194 Mbp	0.0	20-95	35.0	66.10963417613395	63.22268763371915	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E12-T027G_S192_L099_R1_cmb	E12-T027G_S192_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2414641.0	155.5 Mbp	0.0	20-95	35.0	67.05599831606203	63.935271537259574	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E2-T001G_S112_L099_R1_cmb	E2-T001G_S112_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2995196.0	190.3 Mbp	0.0	20-95	35.0	62.47366846065282	63.06205136491902	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
E2-T030G_S208_L099_R1_cmb	E2-T030G_S208_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3122232.0	203.5 Mbp	0.0	20-95	35.0	65.84777211640039	64.69890578278616	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E3-T009G_S120_L099_R1_cmb	E3-T009G_S120_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3311354.0	210.8 Mbp	0.0	20-95	34.0	61.45059884005124	63.173048245521315	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
E3-T039G_S216_L099_R1_cmb	E3-T039G_S216_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2299732.0	148.3 Mbp	0.0	20-95	35.0	63.277727180998426	64.00457705506555	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
E4-T006FX_S224_L099_R1_cmb	E4-T006FX_S224_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2619918.0	163.5 Mbp	0.0	20-95	36.0	47.895877426655794	61.93524072127448	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
E4-T130F_S128_L099_R1_cmb	E4-T130F_S128_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2361461.0	156 Mbp	0.0	20-95	38.0	46.387272923757344	65.6075031516506	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
E5-T126G_S136_L099_R1_cmb	E5-T126G_S136_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2890817.0	185.7 Mbp	0.0	20-95	35.0	63.51299089550159	63.75327874438264	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
E6-T134G_S144_L099_R1_cmb	E6-T134G_S144_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3354229.0	216.1 Mbp	0.0	20-95	35.0	65.45996702856907	63.94959795529763	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E7-T055F_S152_L099_R1_cmb	E7-T055F_S152_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2996485.0	186.4 Mbp	0.0	20-95	36.0	48.20995767996387	61.73951546562055	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
E8-T047G_S160_L099_R1_cmb	E8-T047G_S160_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3300643.0	211.9 Mbp	0.0	20-95	35.0	64.10136996805298	63.724325229962766	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E9-T110G_S168_L099_R1_cmb	E9-T110G_S168_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2987416.0	190.4 Mbp	0.0	20-95	35.0	64.41054074440619	63.24960434033961	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
F1-T006F_S105_L099_R1_cmb	F1-T006F_S105_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2026164.0	128.1 Mbp	0.0	20-95	38.0	44.321971476254205	62.76983600537765	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
F1-T036F_S201_L099_R1_cmb	F1-T036F_S201_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2007405.0	126.3 Mbp	0.0	20-95	36.0	51.8665273694086	62.47312027219221	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
F10-T023F_S177_L099_R1_cmb	F10-T023F_S177_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2915873.0	181.2 Mbp	0.0	20-95	35.0	50.77323019544864	61.66794850118644	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
F11-T016G_S185_L099_R1_cmb	F11-T016G_S185_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2722021.0	173.5 Mbp	0.0	20-95	34.0	66.17239124545787	63.26586018256288	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
F12-T118G_S193_L099_R1_cmb	F12-T118G_S193_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2391055.0	154.7 Mbp	0.0	20-95	35.0	64.89891438315692	64.23736969664019	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
F2-T002G_S113_L099_R1_cmb	F2-T002G_S113_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2372615.0	150.5 Mbp	0.0	20-95	35.0	63.71539281355842	62.966447569453955	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
F2-T031G_S209_L099_R1_cmb	F2-T031G_S209_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2305673.0	149 Mbp	0.0	20-95	35.0	63.68972166543582	64.1489101013023	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
