LOC_ID,protein_name,gene_set,n_samples,n_at_floor,frac_at_floor,floor_flag,tested
LOC134687564,Heat shock 70 kDa protein (HSP70),candidate,45,13,0.289,caution,TRUE
LOC134693664,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),candidate,45,13,0.289,caution,TRUE
LOC134705112,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,13,0.289,caution,TRUE
LOC134706618,NA,DEG_union,45,13,0.289,caution,TRUE
LOC134710563,NA,DEG_union,45,13,0.289,caution,TRUE
LOC134712267,"Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS)",candidate,45,13,0.289,caution,TRUE
LOC134681874,Byssal metalloproteinase inhibitor-like protein 1,candidate,45,12,0.267,caution,TRUE
LOC134685510,Probable glutathione S-transferase 6 (EC 2.5.1.18) (GST class-sigma),candidate,45,12,0.267,caution,TRUE
LOC134686270,Heat shock 70 kDa protein 14,candidate,45,12,0.267,caution,TRUE
LOC134702117,Byssal metalloproteinase inhibitor-like protein 1,candidate,45,12,0.267,caution,TRUE
LOC134710785,Foot protein 12,candidate,45,12,0.267,caution,TRUE
LOC134716384,ACDC (Byssal EP-like protein 1) (EP-protein-1),candidate,45,12,0.267,caution,TRUE
LOC134725173,Glutathione hydrolase-like YwrD proenzyme (EC 2.3.2.2) (Putative gamma-glutamyltransferase YwrD) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase-like YwrD large chain; Glutathione hydrolase-like YwrD small chain],candidate,45,12,0.267,caution,TRUE
LOC134695661,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,11,0.244,caution,TRUE
LOC134695871,Heat shock 70 kDa protein 12A,candidate,45,11,0.244,caution,TRUE
LOC134702190,Heat shock 70 kDa protein 12A,candidate,45,11,0.244,caution,TRUE
LOC134708263,NA,DEG_union,45,11,0.244,caution,TRUE
LOC134715354,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),candidate,45,11,0.244,caution,TRUE
LOC134715627,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK),candidate,45,11,0.244,caution,TRUE
LOC134722070,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)",candidate,45,11,0.244,caution,TRUE
LOC134724896,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,11,0.244,caution,TRUE
LOC134725866,NA,DEG_union,45,11,0.244,caution,TRUE
LOC134708000,Foot protein 13,candidate,45,10,0.222,caution,TRUE
LOC134716158,Collagen alpha-1(XXII) chain,candidate,45,10,0.222,caution,TRUE
LOC134725948,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,10,0.222,caution,TRUE
LOC134696041,NA,DEG_union,45,9,0.2,ok,TRUE
LOC134706228,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,9,0.2,ok,TRUE
LOC134707077,NA,DEG_union,45,9,0.2,ok,TRUE
LOC134714403,Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS),candidate,45,9,0.2,ok,TRUE
LOC134714500,Uncharacterized protein C18H10.09,DEG_union,45,9,0.2,ok,TRUE
LOC134719074,Collagen alpha-4(VI) chain,candidate,45,9,0.2,ok,TRUE
LOC134721812,Glutathione peroxidase (GPx) (GSHPx) (EC 1.11.1.9),candidate,45,9,0.2,ok,TRUE
LOC134724165,Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5),DEG_union,45,9,0.2,ok,TRUE
LOC134724473,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),candidate,45,9,0.2,ok,TRUE
LOC134725473,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase),candidate,45,9,0.2,ok,TRUE
LOC134725805,Heat shock 70 kDa protein 12A,candidate,45,9,0.2,ok,TRUE
LOC134696058,Heat shock 70 kDa protein 12B,candidate,45,8,0.178,ok,TRUE
LOC134697339,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,8,0.178,ok,TRUE
LOC134697396,"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)",candidate,45,8,0.178,ok,TRUE
LOC134711996,Calmodulin (CaM),DEG_union,45,8,0.178,ok,TRUE
LOC134716025,NA,DEG_union,45,8,0.178,ok,TRUE
LOC134721766,Heat shock 70 kDa protein 12B,candidate,45,8,0.178,ok,TRUE
LOC134721871,DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]),DEG_union,45,8,0.178,ok,TRUE
LOC134725894,A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme),candidate,45,8,0.178,ok,TRUE
LOC134725998,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,8,0.178,ok,TRUE
LOC134685015,ETS-related transcription factor Elf-5 (E74-like factor 5),DEG_union,45,7,0.156,ok,TRUE
LOC134692001,NA,DEG_union,45,7,0.156,ok,TRUE
LOC134692391,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,7,0.156,ok,TRUE
LOC134694436,Heat shock 70 kDa protein 12B,candidate,45,7,0.156,ok,TRUE
LOC134696942,Collagen-like protein 2,candidate,45,7,0.156,ok,TRUE
LOC134697300,Byssal HSP-like protein 1,candidate,45,7,0.156,ok,TRUE
LOC134697661,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",candidate,45,7,0.156,ok,TRUE
LOC134706727,Glutathione S-transferase (PfGST) (EC 2.5.1.18),candidate,45,7,0.156,ok,TRUE
LOC134715434,Adhesive plaque matrix protein (Foot protein 1) (MGFP-1) (MGFP1),candidate,45,7,0.156,ok,TRUE
LOC134722108,Collagen alpha-1(XXI) chain,candidate,45,7,0.156,ok,TRUE
LOC134683354,Protein SAAL1 (Synoviocyte proliferation-associated in collagen-induced arthritis protein 1) (SPACIA1),candidate,45,6,0.133,ok,TRUE
LOC134683549,NA,DEG_union,45,6,0.133,ok,TRUE
LOC134687271,NA,DEG_union,45,6,0.133,ok,TRUE
LOC134692000,"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)",candidate,45,6,0.133,ok,TRUE
LOC134692032,NA,DEG_union,45,6,0.133,ok,TRUE
LOC134692133,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),candidate,45,6,0.133,ok,TRUE
LOC134693958,Superoxide dismutase [Mn] (EC 1.15.1.1),candidate,45,6,0.133,ok,TRUE
LOC134694061,Collagen alpha-4(VI) chain,candidate,45,6,0.133,ok,TRUE
LOC134710209,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),candidate,45,6,0.133,ok,TRUE
LOC134710890,Calmodulin (CaM),DEG_union,45,6,0.133,ok,TRUE
LOC134711730,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",candidate,45,6,0.133,ok,TRUE
LOC134712109,Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Phospholipid hydroperoxide glutathione peroxidase GPX2) (EC 1.11.1.12),candidate,45,6,0.133,ok,TRUE
LOC134712116,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),DEG_union,45,6,0.133,ok,TRUE
LOC134696251,Heat shock 70 kDa protein 12B,candidate,45,5,0.111,ok,TRUE
LOC134697127,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,5,0.111,ok,TRUE
LOC134698135,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,5,0.111,ok,TRUE
LOC134706903,Putative ferric-chelate reductase 1 homolog (DmSDR2) (EC 1.-.-.-),DEG_union,45,5,0.111,ok,TRUE
LOC134707468,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),candidate,45,5,0.111,ok,TRUE
LOC134707510,Tyrosinase 2,candidate,45,5,0.111,ok,TRUE
LOC134707902,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",candidate,45,5,0.111,ok,TRUE
LOC134712495,Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),candidate,45,5,0.111,ok,TRUE
LOC134716258,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)",candidate,45,5,0.111,ok,TRUE
LOC134716385,ACDC (Byssal EP-like protein 1) (EP-protein-1),candidate,45,5,0.111,ok,TRUE
LOC134718845,Precollagen D,candidate,45,5,0.111,ok,TRUE
LOC134721144,Cytochrome P450 10 (EC 1.14.-.-) (CYPX),DEG_union,45,5,0.111,ok,TRUE
LOC134725734,DNA damage-inducible transcript 4-like protein,DEG_union,45,5,0.111,ok,TRUE
LOC134727424,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1),candidate,45,5,0.111,ok,TRUE
LOC134682928,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",candidate,45,4,0.089,ok,TRUE
LOC134688288,"ATP-dependent RNA helicase DEAH12, chloroplastic (EC 3.6.4.13)",DEG_union,45,4,0.089,ok,TRUE
LOC134689642,NA,DEG_union,45,4,0.089,ok,TRUE
LOC134693434,"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]",candidate,45,4,0.089,ok,TRUE
LOC134694048,NA,DEG_union,45,4,0.089,ok,TRUE
LOC134694060,Collagen alpha-4(VI) chain,candidate,45,4,0.089,ok,TRUE
LOC134697432,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)",candidate,45,4,0.089,ok,TRUE
LOC134701330,NEDD8-conjugating enzyme UBE2F (EC 2.3.2.34) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F),DEG_union,45,4,0.089,ok,TRUE
LOC134705633,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),DEG_union,45,4,0.089,ok,TRUE
LOC134707119,NA,DEG_union,45,4,0.089,ok,TRUE
LOC134710470,Tubulin-specific chaperone E (Tubulin-folding cofactor E),candidate,45,4,0.089,ok,TRUE
LOC134710997,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)",candidate,45,4,0.089,ok,TRUE
LOC134718464,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),candidate,45,4,0.089,ok,TRUE
LOC134718580,Nuclear protein MDM1,DEG_union,45,4,0.089,ok,TRUE
LOC134725558,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),candidate,45,4,0.089,ok,TRUE
LOC134685076,Calcium/manganese antiporter SLC30A10 (Solute carrier family 30 member 10),DEG_union,45,3,0.067,ok,TRUE
LOC134687071,Glutathione S-transferase P (EC 2.5.1.18) (GST P1-1) (GST class-pi),candidate,45,3,0.067,ok,TRUE
LOC134691216,NA,DEG_union,45,3,0.067,ok,TRUE
LOC134691244,NA,DEG_union,45,3,0.067,ok,TRUE
LOC134693114,NA,DEG_union,45,3,0.067,ok,TRUE
LOC134695863,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),DEG_union,45,3,0.067,ok,TRUE
LOC134696794,Heat shock protein 70 B2,candidate,45,3,0.067,ok,TRUE
LOC134708146,NA,DEG_union,45,3,0.067,ok,TRUE
LOC134709302,Paired box protein Pax-9,DEG_union,45,3,0.067,ok,TRUE
LOC134711985,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),candidate,45,3,0.067,ok,TRUE
LOC134715581,NA,DEG_union,45,3,0.067,ok,TRUE
LOC134715894,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),DEG_union,45,3,0.067,ok,TRUE
LOC134715935,Diamine oxidase [copper-containing] (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase),candidate,45,3,0.067,ok,TRUE
LOC134718400,Suppressor of tumorigenicity 7 protein homolog,DEG_union,45,3,0.067,ok,TRUE
LOC134725351,Peroxiredoxin-like 2A (Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes) (Protein PAMM) (Redox-regulatory protein FAM213A),candidate,45,3,0.067,ok,TRUE
LOC134682572,Tubulin beta chain (Beta-tubulin),DEG_union,45,2,0.044,ok,TRUE
LOC134683041,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134683210,Reelin (EC 3.4.21.-),DEG_union,45,2,0.044,ok,TRUE
LOC134685243,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134685572,Protein FAM199X,DEG_union,45,2,0.044,ok,TRUE
LOC134686782,Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4),candidate,45,2,0.044,ok,TRUE
LOC134686970,Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4),candidate,45,2,0.044,ok,TRUE
LOC134700608,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134705343,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134706619,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),DEG_union,45,2,0.044,ok,TRUE
LOC134707233,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134708582,Mitochondrial glutathione transporter SLC25A40 (Solute carrier family 25 member 40),candidate,45,2,0.044,ok,TRUE
LOC134708608,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134711397,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38),candidate,45,2,0.044,ok,TRUE
LOC134711529,Protein sprint (SH2 poly-proline-containing Ras-interactor protein),DEG_union,45,2,0.044,ok,TRUE
LOC134711856,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134714798,"Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)",candidate,45,2,0.044,ok,TRUE
LOC134714863,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134714925,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134720677,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R),candidate,45,2,0.044,ok,TRUE
LOC134722878,NA,DEG_union,45,2,0.044,ok,TRUE
LOC134724864,Coiled-coil domain-containing protein 33,DEG_union,45,2,0.044,ok,TRUE
LOC134680850,Major vault protein (MVP),DEG_union,45,1,0.022,ok,TRUE
LOC134680880,Dynein regulatory complex protein 10 (IQ domain-containing protein D),DEG_union,45,1,0.022,ok,TRUE
LOC134681212,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134681360,Collagen alpha-4(VI) chain,candidate,45,1,0.022,ok,TRUE
LOC134682960,Neuronal acetylcholine receptor subunit alpha-2,DEG_union,45,1,0.022,ok,TRUE
LOC134683028,Metal cation symporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14),DEG_union,45,1,0.022,ok,TRUE
LOC134683162,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134683219,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134684518,FERM domain-containing protein 4A,DEG_union,45,1,0.022,ok,TRUE
LOC134686811,CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2),DEG_union,45,1,0.022,ok,TRUE
LOC134687007,Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease),DEG_union,45,1,0.022,ok,TRUE
LOC134689775,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase),candidate,45,1,0.022,ok,TRUE
LOC134690748,T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin containing T-complex polypeptide 1 subunit 1),DEG_union,45,1,0.022,ok,TRUE
LOC134695001,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),candidate,45,1,0.022,ok,TRUE
LOC134695774,Heat shock 70 kDa protein 12A,candidate,45,1,0.022,ok,TRUE
LOC134696286,Tubulin polyglutamylase TTLL7 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 7),DEG_union,45,1,0.022,ok,TRUE
LOC134696498,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9),DEG_union,45,1,0.022,ok,TRUE
LOC134705160,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134706411,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134706747,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),candidate,45,1,0.022,ok,TRUE
LOC134706953,D-aspartate oxidase (DASOX) (DASPO) (DDO) (EC 1.4.3.1),DEG_union,45,1,0.022,ok,TRUE
LOC134708355,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),candidate,45,1,0.022,ok,TRUE
LOC134708397,Sacsin (DnaJ homolog subfamily C member 29),DEG_union,45,1,0.022,ok,TRUE
LOC134711018,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134712189,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134712200,NA,DEG_union,45,1,0.022,ok,TRUE
LOC134712398,NA,DEG_union,45,1,0.022,ok,TRUE
