LOC_ID,protein_name,annotation_source,byssal_structural
LOC134711985,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),TC_DEG_sigs,FALSE
LOC134715354,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),TC_DEG_sigs,FALSE
LOC134693874,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide],TC_DEG_sigs,FALSE
LOC134686938,Byssal tyrosinase-like protein-1,genome_blast_byssal,TRUE
LOC134711495,Foot protein 12,genome_blast_byssal,TRUE
LOC134719757,Foot protein 2,genome_blast_byssal,TRUE
LOC134710785,Foot protein 12,genome_blast_byssal,TRUE
LOC134706002,Foot protein 11,genome_blast_byssal,TRUE
LOC134709435,Foot protein 10,genome_blast_byssal,TRUE
LOC134715434,Adhesive plaque matrix protein (Foot protein 1) (MGFP-1) (MGFP1),genome_blast_byssal,TRUE
LOC134709805,Foot protein-4 variant-1,genome_blast_byssal,TRUE
LOC134711497,Foot protein 12,genome_blast_byssal,TRUE
LOC134719452,Foot protein 15,genome_blast_byssal,TRUE
LOC134711496,Foot protein 10,genome_blast_byssal,TRUE
LOC134708000,Foot protein 13,genome_blast_byssal,TRUE
LOC134718845,Precollagen D,genome_blast_byssal,TRUE
LOC134683831,Byssal protein-1,genome_blast_byssal,TRUE
LOC134719453,Foot protein 15,genome_blast_byssal,TRUE
