LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,slope_mixed,p_mixed,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134710182,adhesion_kpa,45,-13.315652720260182,0.11337852070629166,0.8539273909184854,Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1) (Sphingosine-1-phosphate phosphohydrolase 1) (SPP-1),32.949,2.25e-65,genome_blast,FALSE,TRUE,candidate,exploratory,-13.644869235926645,0.10544879192446663,0.8457040948430964,1,1,NA
LOC134707640,adhesion_kpa,45,6.30879879290743,0.11889471247931131,0.8539273909184854,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx),69.683,8.46e-108,genome_blast,FALSE,TRUE,candidate,exploratory,6.245994286639509,0.12434546549865642,0.8457040948430964,1,1,NA
LOC134714868,adhesion_kpa,45,-10.710113871995045,0.12534646917207481,0.8539273909184854,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1),39.764,0,genome_blast,FALSE,TRUE,candidate,exploratory,-10.714712173445246,0.12452055718527358,0.8457040948430964,1,1,NA
LOC134715482,adhesion_kpa,45,24.25902637008265,0.12672220249165173,0.8539273909184854,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA),68.493,3.86e-27,genome_blast,TRUE,TRUE,candidate,exploratory,24.08277535021905,0.1292773263221008,0.8457040948430964,1,1,NA
LOC134721033,adhesion_kpa,45,21.093463583515568,0.12824594581010162,0.8539273909184854,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),34.834,4.8000000000000006e-80,genome_blast,FALSE,TRUE,candidate,exploratory,21.26730885124662,0.12468279572056586,0.8457040948430964,1,1,NA
LOC134718464,adhesion_kpa,45,10.354598885964082,0.13143616314707585,0.8539273909184854,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),63.014,1.44e-58,genome_blast,FALSE,TRUE,candidate,exploratory,10.364160084446878,0.1304049571535401,0.8457040948430964,1,1,NA
LOC134711783,adhesion_kpa,45,15.884736029820653,0.14246296643156917,0.8539273909184854,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)],55.876,0,genome_blast,TRUE,TRUE,candidate,exploratory,15.945117046747436,0.14030263612068397,0.8457040948430964,1,1,NA
LOC134725629,adhesion_kpa,45,18.715905589688315,0.14866808078073873,0.8539273909184854,Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase),52.453,0,genome_blast,FALSE,TRUE,candidate,exploratory,18.79860865714695,0.14623749820872153,0.8457040948430964,1,1,NA
LOC134725897,adhesion_kpa,45,9.90243958301504,0.152110011925565,0.8539273909184854,Glyoxalase 3 (EC 4.2.1.130) (Glutathione-independent glyoxalase),34.649,3.8800000000000005e-33,genome_blast,TRUE,TRUE,candidate,exploratory,9.78474156072955,0.1587782997426748,0.8457040948430964,1,1,NA
LOC134718500,adhesion_kpa,45,-32.00684637139022,0.15279628839023324,0.8539273909184854,"RalA-binding protein 1 (RalBP1) (Cytocentrin) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",50.853,8.94e-81,genome_blast,FALSE,TRUE,candidate,exploratory,-31.695290568083028,0.15698554498109088,0.8457040948430964,1,1,NA
LOC134708355,adhesion_kpa,45,14.7340889525873,0.15538237192764004,0.8539273909184854,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),47.404,0,genome_blast,FALSE,TRUE,candidate,exploratory,15.306737207845073,0.14194208358048266,0.8457040948430964,1,1,NA
LOC134715908,adhesion_kpa,45,19.02344157932106,0.1558354910485231,0.8539273909184854,Dye-decolorizing peroxidase YfeX (EC 1.11.1.-),32.313,6.41e-33,genome_blast,TRUE,TRUE,candidate,exploratory,18.919491317379507,0.1575712194990602,0.8457040948430964,1,1,NA
LOC134710470,adhesion_kpa,45,-11.791112093061143,0.15734884388235462,0.8539273909184854,Tubulin-specific chaperone E (Tubulin-folding cofactor E),43.103,1.11e-138,genome_blast,FALSE,TRUE,candidate,exploratory,-11.689852770249807,0.16079508467330306,0.8457040948430964,1,1,NA
LOC134695001,adhesion_kpa,45,11.712941265582216,0.15756346265424057,0.8539273909184854,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),66.667,4.37e-154,genome_blast,TRUE,TRUE,candidate,exploratory,11.768701356409508,0.15494454699436622,0.8457040948430964,1,1,NA
LOC134725758,adhesion_kpa,45,-11.137298944840628,0.16795584741786843,0.8539273909184854,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1),76.44,9.8e-112,genome_blast,TRUE,TRUE,candidate,exploratory,-11.120354634048342,0.16787147348497414,0.8457040948430964,1,1,NA
LOC134721812,adhesion_kpa,45,12.425452575630972,0.16984044772406712,0.8539273909184854,Glutathione peroxidase (GPx) (GSHPx) (EC 1.11.1.9),42.857,7.5e-46,genome_blast,FALSE,TRUE,candidate,exploratory,12.28491471615281,0.17950659431663524,0.8457040948430964,1,1,NA
LOC134715935,adhesion_kpa,45,13.90570426464883,0.16989126188434545,0.8539273909184854,Diamine oxidase [copper-containing] (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase),36.749,2.879999999999999e-171,genome_blast,FALSE,TRUE,candidate,exploratory,14.135895173232472,0.16290185485949904,0.8457040948430964,1,1,NA
LOC134714392,adhesion_kpa,45,12.32672333991091,0.17287699381769844,0.8539273909184854,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),67.936,0,genome_blast,TRUE,TRUE,candidate,exploratory,12.194973782043027,0.17775538212782982,0.8457040948430964,1,1,NA
LOC134715138,adhesion_kpa,45,15.339556612656592,0.1749039656179741,0.8539273909184854,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9)",82.419,0,genome_blast,TRUE,TRUE,candidate,exploratory,15.153145022667985,0.18101745822863388,0.8457040948430964,1,1,NA
LOC134694436,adhesion_kpa,45,5.601283104230298,0.1765088631554743,0.8539273909184854,Heat shock 70 kDa protein 12B,28.732,8.41e-52,genome_blast,FALSE,TRUE,candidate,exploratory,5.553918237439786,0.17993089287282665,0.8457040948430964,1,1,NA
LOC134712495,adhesion_kpa,45,-8.541721844428901,0.17794657873684622,0.8539273909184854,Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),58.414,0,genome_blast,FALSE,TRUE,candidate,exploratory,-8.504599582940928,0.17918364020806915,0.8457040948430964,1,1,NA
LOC134710209,adhesion_kpa,45,13.879833850542832,0.17944450815511473,0.8539273909184854,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),37.755,0,genome_blast,FALSE,TRUE,candidate,exploratory,13.977431784166408,0.17579858895907727,0.8457040948430964,1,1,NA
LOC134694726,adhesion_kpa,45,10.311283381927614,0.1893883265514551,0.8539273909184854,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",21.013,3.1799999999999998e-24,genome_blast,FALSE,TRUE,candidate,exploratory,10.294768110343771,0.1893367376514395,0.8457040948430964,1,1,NA
LOC134715627,adhesion_kpa,45,-8.190730143366014,0.19186146282867841,0.8539273909184854,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK),37.084,0,genome_blast,FALSE,TRUE,candidate,exploratory,-8.476638881978717,0.17833545400442224,0.8457040948430964,1,1,NA
LOC134684786,adhesion_kpa,45,7.969553829739511,0.19521548222096008,0.8539273909184854,Tyrosinase 2,47.207,0,genome_blast,FALSE,TRUE,candidate,exploratory,8.081214201113038,0.18877046865603153,0.8457040948430964,1,1,NA
