LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134686763,max_force,46,0.051102961237602294,0.09946675541664209,0.7288359799319352,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37)
LOC134711515,max_force,46,0.020262281455048128,0.4589581268160464,0.8114928023479726,Collagen alpha-2(IV) chain
LOC134687560,max_force,46,-0.08085523935136867,0.01611572018993478,0.5659186286863459,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1)
LOC134720928,max_force,46,0.031222940168691583,0.15747559944396267,0.7288359799319352,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)
LOC134711985,max_force,46,0.08009159735735437,0.12720420376324523,0.7288359799319352,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)
LOC134715354,max_force,46,-0.05359430020287635,0.02605632070485657,0.5659186286863459,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)
LOC134693874,max_force,46,-0.03528589804028065,0.33032250528255025,0.7652982314517497,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]
LOC134707468,pad_area,46,0.20233710683546963,0.3009904167347348,0.7483258078895136,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)
LOC134715138,pad_area,46,-0.127696091977272,0.701537528181173,0.9048603622911706,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9)"
LOC134714939,pad_area,46,0.1708857792220329,0.7195408609186897,0.9048603622911706,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)"
LOC134707842,pad_area,46,-0.045964358607995505,0.9345500065061525,0.9651909903260264,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"
LOC134714791,pad_area,46,-0.15270792212089626,0.6306590704555848,0.9048603622911706,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"
LOC134711783,pad_area,46,-0.3671541810784495,0.32032281642723875,0.7483258078895136,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]
LOC134706577,pad_area,46,-0.5301776099075034,0.2438873370222728,0.7483258078895136,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)"
LOC134697300,pad_area,46,-0.618811515069241,0.004603301062070187,0.2900079669104218,Byssal HSP-like protein 1
