LOC_ID,metric,metric_type,n,slope,p_lm,rho_partial,q_lm,protein_name,gene_set
LOC134707690,adhesion_kpa,level,44,-31.330470440826854,0.17898222127058447,-0.22387682813858106,0.7433887689996144,Bromodomain-containing protein 2,DEG_union
LOC134711376,adhesion_kpa,level,44,-14.572545624430372,0.17968971900663264,-0.1769877680735745,0.7433887689996144,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha),DEG_union
LOC134725490,adhesion_kpa,level,44,12.456928040618585,0.18062588460476287,0.2595506202411652,0.7433887689996144,NA,DEG_union
LOC134697233,adhesion_kpa,level,44,9.895011557727958,0.18081349516777295,0.3737339283545536,0.7433887689996144,NA,DEG_union
LOC134694199,adhesion_kpa,level,44,13.5963907664221,0.18130715823555368,0.24699625101351388,0.7433887689996144,NACHT and WD repeat domain-containing protein 2 (Leucine-rich repeat and WD repeat-containing protein KIAA1239),DEG_union
LOC134710226,adhesion_kpa,level,44,15.170106975865519,0.18451096014721474,0.1293175113676623,0.7433887689996144,Eukaryotic translation initiation factor 5 (eIF-5),DEG_union
LOC134712427,adhesion_kpa,level,44,17.924880164110256,0.18524562921361087,0.2744327434307674,0.7433887689996144,Ankyrin repeat domain-containing protein 42,DEG_union
LOC134712215,adhesion_kpa,level,44,-13.862304455826168,0.18716532006534975,-0.14672073951886727,0.7433887689996144,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2),DEG_union
LOC134714625,adhesion_kpa,level,44,7.929933376889257,0.1905168170211027,0.2904468048732906,0.7433887689996144,E3 ubiquitin-protein ligase arih1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1),DEG_union
LOC134708263,adhesion_kpa,level,44,7.915868004880119,0.19110795210027004,0.12102905100237377,0.7433887689996144,NA,DEG_union
LOC134697688,adhesion_kpa,level,44,16.802963403721296,0.19160848810014436,0.24838208734578907,0.7433887689996144,von Willebrand factor A domain-containing protein 3B (VWA domain-containing protein 3B),DEG_union
LOC134683075,adhesion_kpa,level,44,20.989131864139797,0.19161222109993561,0.20232299944477006,0.7433887689996144,RNA ligase 1 (EC 6.5.1.3) (RNA ligase) (Rnl),DEG_union
LOC134686279,adhesion_kpa,level,44,8.57651051815,0.1918881143689253,0.22541932021404787,0.7433887689996144,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),DEG_union
