mussel,treatment,n_plaques,max_force,pad_area,adhesion_kpa,max_displacement,n_plaques_base,base_max_force,base_pad_area,base_adhesion_kpa,base_max_displacement,dlog_max_force,dlog_pad_area,dlog_adhesion_kpa,sample,response_class,response_score,adhesion_kpa_direction,adhesion_kpa_rel_direction,max_force_direction,max_force_rel_direction,pad_area_direction,pad_area_rel_direction,max_displacement_direction,max_displacement_rel_direction,adhesion_kpa_vs_control,max_force_vs_control,pad_area_vs_control,max_displacement_vs_control
T029,OW,4,0.10125,2.9,36.18218713335269,0.1068125,3,0.4033333333333333,3.353333333333333,124.57102902182996,0.13618666666666665,-1.3821706439360284,-0.14524413901105507,-1.2363091378679154,T029F,weaker,-1.4692583811286242,decreased,below_control,decreased,below_control,decreased,below_control,decreased,below_control,-55.56347622370243,-63.38177172123608,-34.30173797940551,-9.86425675346852
T030,OW,3,0.21333333333333335,1.6199999999999999,134.65154238723943,0.11271333333333333,1,0.43,5.62,76.51245551601424,0.20185,-0.7009293210020001,-1.2439055146613072,0.5652367291982554,T030F,mixed,-0.5328573602841981,increased,above_control,decreased,below_control,decreased,below_control,decreased,below_control,91.37753137711928,-38.872674405584846,-91.95722852368434,-32.45506404509352
T031,OW,3,0.15666666666666668,4.133333333333333,38.63395012337939,0.12680333333333332,3,0.2516666666666667,3.79,68.82135653008908,0.13548,-0.4739850545449205,0.08671816484854636,-0.577382684672165,T031F,weaker,-0.14703668141485662,decreased,below_control,decreased,below_control,increased,below_control,decreased,above_control,-28.4723314354433,-26.233421877220977,-11.723924298605544,5.3004013007136495
T033,OW,3,0.18333333333333335,4.1433333333333335,45.1597803571958,0.16971333333333333,3,0.28833333333333333,4.676666666666667,61.69160512067283,0.12279,-0.45281122870536267,-0.12108498859174983,-0.3119409864104234,T033F,weaker,-0.10300322849610954,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-11.406430455742038,-24.901262477458303,-32.18698529805952,49.919086041979085
T034,OW,3,0.13666666666666666,3.6233333333333335,40.043736713111535,0.09162333333333333,3,0.25666666666666665,4.016666666666667,63.718578654613346,0.11417666666666666,-0.6302333551493762,-0.10305795880354592,-0.46450390408631675,T034F,weaker,-0.32870667182115026,decreased,below_control,decreased,below_control,decreased,below_control,decreased,below_control,-21.764223316096505,-35.2383242596068,-30.575382419816982,-8.048223702038506
T035,OW,3,0.10833333333333334,2.9033333333333333,42.05360895934666,0.10055333333333333,NA,NA,NA,NA,NA,NA,NA,NA,T035F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T036,OW,3,0.205,3.29,65.12760368617501,0.14310333333333333,3,0.32333333333333336,4.93,60.615951537608076,0.12595,-0.4556738036909109,-0.40445142327731815,0.07179039397005925,T036F,mixed,-0.05035629120177851,increased,above_control,decreased,below_control,decreased,below_control,increased,above_control,22.83410825114205,-25.08301565068995,-54.048571380620935,25.32395167521416
T037,OW,3,0.17,2.43,71.31532451134724,0.11283666666666667,3,0.20666666666666667,2.5833333333333335,80.87872799351665,0.10972666666666667,-0.19530875232076572,-0.061189297344688816,-0.12583961314639622,T037F,weaker,0.26674306387497626,decreased,above_control,decreased,below_control,decreased,below_control,increased,above_control,3.5667226636849865,-6.227012990231005,-26.71833517045278,14.5391062044998
T038,OW,3,0.17833333333333334,3.276666666666667,55.20054834508433,0.10805666666666668,2,0.17500000000000002,3.125,53.58436853002071,0.12476999999999999,0.018868484304382736,0.04739236230260065,0.029715493380164576,T038F,stronger,0.6210874415190807,increased,above_control,increased,above_control,increased,below_control,decreased,below_control,18.40723735999341,13.419684398401856,-15.9295179661517,-1.6905234120362138
T039,OW,3,0.17333333333333334,2.353333333333333,72.78874269005848,0.22481,3,0.165,3.333333333333333,49.71455687543272,0.11281333333333333,0.04927104900678263,-0.34814004148889505,0.3812635247721754,T039F,stronger,0.5864197129079574,increased,above_control,increased,above_control,decreased,below_control,increased,above_control,61.80443590757877,16.565427544145006,-50.18285129948504,110.98088092912758
T040,OW,3,0.07833333333333334,2.4266666666666667,33.133376811230676,0.24308,3,0.22833333333333333,3.32,66.06190013370569,0.12018666666666666,-1.0698333241180662,-0.3134462093879121,-0.6900510461009984,T040F,weaker,-0.9783291359525864,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-34.45385647009994,-54.17850816329435,-47.690481821573385,113.95684299546323
T041,OW,3,0.14,1.8333333333333333,77.19869966551359,0.14091,2,0.25,2.565,98.33058154467071,0.140265,-0.579818495252942,-0.33582267505241736,-0.24195246981074844,T041F,weaker,-0.31403379842850593,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-6.099553861054014,-32.485077506360035,-49.30786754379953,12.16463449943844
T046,DO,3,0.15166666666666667,1.3366666666666667,121.11573601403178,0.1455,2,0.40249999999999997,3.6799999999999997,109.43211608758261,0.12026,-0.9760099665757772,-1.0127337995304715,0.10144217182375076,T046F,mixed,-0.8873428673350601,increased,above_control,decreased,below_control,decreased,below_control,increased,above_control,26.067688336913186,-50.80391808607018,-84.4603875313691,32.692650269924506
T049,DO,3,0.11333333333333333,2.0733333333333333,61.964807616981524,0.13963333333333333,3,0.15,4.136666666666667,34.88084518197342,0.09676,-0.2803019651541584,-0.6907326924654278,0.5746287749256825,T049F,mixed,0.21626343965976763,increased,above_control,decreased,below_control,decreased,below_control,increased,above_control,93.03819030205698,-12.929521950804489,-70.66198103357046,56.01373372190323
T052,DO,3,0.21833333333333332,2.7866666666666666,80.96990494897241,0.09469333333333334,3,0.17833333333333334,3.6766666666666667,47.9653031581815,0.12239,0.2023684887392452,-0.2771604061688009,0.5235996431390652,T052F,stronger,0.8570313581143901,increased,above_control,increased,above_control,decreased,below_control,decreased,below_control,84.20042285357098,33.94482903569602,-44.98956027500635,-10.925053853732962
T055,DO,3,0.16833333333333333,2.5,70.16396625366232,0.09462333333333334,2,0.3025,5.4399999999999995,56.20659722222223,0.12881,-0.5861351368636459,-0.7774883289936961,0.22180073971176142,T055F,mixed,-0.33058125970067553,increased,above_control,decreased,below_control,decreased,below_control,decreased,below_control,40.22335810392066,-32.837694586249846,-74.82696894654386,-14.835591843008348
T056,DO,3,0.13666666666666666,3.1133333333333333,45.46136363115892,0.09625666666666667,3,0.195,3.5566666666666666,53.91569800787246,0.12100999999999999,-0.35545468753350307,-0.13312981307291075,-0.17055886444015572,T056F,weaker,0.06089649270656464,decreased,below_control,decreased,below_control,decreased,below_control,decreased,below_control,-0.2895576860716762,-18.399607420889964,-33.24770603238101,-8.750819096751137
T057,DO,3,0.12166666666666667,2.0733333333333333,59.91385432484909,0.14166,3,0.10666666666666667,3.276666666666667,32.39004223724088,0.12489666666666667,0.13157635778871926,-0.45766902740798726,0.6150567320733615,T057F,stronger,0.7295009645915167,increased,above_control,increased,above_control,decreased,below_control,increased,above_control,100.36725064710257,25.57742249363995,-57.50716462603642,25.126552622383997
T058,DO,3,0.085,4.006666666666667,21.244716708340295,0.12534,2,0.2075,3.6900000000000004,57.311133545518295,0.122485,-0.8924800831804365,0.08233318238651599,-0.9923866685923564,T058F,weaker,-0.7562562410142418,decreased,below_control,decreased,below_control,increased,below_control,increased,above_control,-47.53981128701819,-47.52122208467329,-12.201098815293538,14.035688293410418
T110,DO,3,0.11833333333333333,2.09,57.43628364836558,0.14988,2,0.2575,2.605,98.16715326314548,0.14354,-0.7775142192964848,-0.22026860922861066,-0.5359954483196703,T110F,weaker,-0.5801800343665544,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-26.10024542051348,-42.530384949725736,-40.55252500389963,16.121677911279644
T111,DO,3,0.07333333333333333,2.9233333333333333,24.54583537308598,0.13441333333333333,3,0.21166666666666667,3.05,74.02207965925692,0.13025,-1.0599974525403302,-0.04241707290333816,-1.103821221193866,T111F,weaker,-1.0573440132986005,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-51.44874941050855,-53.839408215021464,-24.93585676396591,14.901207778985444
T112,DO,3,0.06666666666666667,2.1566666666666667,34.43801883499647,0.13237,3,0.23833333333333334,2.6766666666666667,92.03353008689949,0.14912,-1.2739651761459712,-0.2160084194458611,-0.9829918153281986,T112F,weaker,-1.2626333215296042,decreased,below_control,decreased,below_control,decreased,below_control,decreased,above_control,-47.18991155415717,-60.51304953433207,-40.20999949375652,0.4722262547899216
T118,OA,3,0.17333333333333334,3.5166666666666666,52.29626080972938,0.11115666666666667,3,0.23833333333333334,2.6866666666666665,86.46346726217438,0.15257,-0.3184537311185346,0.26921230340353863,-0.5027971074545534,T118F,weaker,0.16408262450107292,decreased,below_control,decreased,below_control,increased,above_control,decreased,below_control,-24.12525321552301,-15.757804779087316,10.110448948653922,-15.43903406001855
T119,OA,3,0.21166666666666667,2.9533333333333336,67.77292273546955,0.11464,3,0.21333333333333335,3.066666666666667,67.60818760841093,0.11137666666666667,-0.007843177461025893,-0.037656719438005054,0.0024336513114126793,T119F,mixed,0.5149041069005332,increased,above_control,decreased,above_control,decreased,below_control,increased,above_control,15.634758412666532,10.73367249363995,-24.47850347339808,14.634787938909955
T126,control,3,0.18,3.5666666666666664,51.08502123237372,0.13261333333333333,2,0.23249999999999998,2.295,103.25859377974038,0.21184000000000003,-0.25593337413720063,0.44089860928724234,-0.7037451334394134,T126F,weaker,0.19937354030845417,decreased,below_control,decreased,below_control,increased,above_control,decreased,below_control,-35.136002713785246,-11.065722667650364,34.62746097357233,-25.694504432985884
T127,control,3,0.11666666666666667,2.603333333333333,42.99862572390374,0.09897666666666667,3,0.23166666666666666,2.3633333333333333,97.21622099132414,0.13966333333333333,-0.6859786910813328,0.09671962330755832,-0.81576942489621,T127F,weaker,-0.4664092307909085,decreased,below_control,decreased,below_control,increased,below_control,decreased,below_control,-40.37901502841159,-38.125365276144215,-10.627703203575315,-17.42716955750833
T128,control,3,0.24333333333333335,4.433333333333334,54.925574581325805,0.10954666666666667,2,0.21000000000000002,1.935,103.81162303101985,0.15659,0.14732471475685835,0.8290444200778534,-0.6365988602992778,T128F,mixed,0.8477319029609628,decreased,below_control,increased,above_control,increased,above_control,decreased,below_control,-31.7000158423156,27.387938366655824,108.32998246451152,-18.337570522986724
T129,control,3,0.31666666666666665,4.54,71.31829309001891,0.11984333333333333,2,0.2875,2.545,110.84037253627896,0.128085,0.0966268356890717,0.5787963620507706,-0.44093822142608374,T129F,mixed,0.7554015616894818,decreased,below_control,increased,above_control,increased,above_control,decreased,above_control,-20.26565752331978,21.659850029871844,57.60614673587842,5.270261478655202
T130,control,3,0.225,2.2366666666666664,101.11519934649994,0.09244000000000001,2,0.3025,3.2,93.96837342038137,0.21174500000000002,-0.29598087526647593,-0.35816414749020026,0.07330218177219607,T130F,mixed,0.10368979148703332,increased,above_control,decreased,below_control,decreased,below_control,decreased,below_control,22.996662127639212,-14.10491221710384,-50.88701796615172,-44.63892468548086
T131,control,4,0.1775,2.88,61.15968644656445,0.167985,3,0.235,3.1466666666666665,74.66762274699457,0.16975666666666667,-0.2806149052286884,-0.08855339734144506,-0.19955831347746192,T131F,weaker,0.12959707288868272,decreased,below_control,decreased,below_control,decreased,below_control,decreased,above_control,-2.6996575627023507,-12.953162612743023,-29.25742757067148,10.661139916741972
T132,control,3,0.33,3.5133333333333336,94.03744004886205,0.21001,2,0.34500000000000003,2.995,112.81868735565172,0.14055,-0.04445176257083392,0.159621022877694,-0.18208899202667614,T132F,weaker,0.5099008670858594,decreased,below_control,decreased,above_control,increased,below_control,increased,above_control,-1.2561871074042958,7.167096406683431,-3.4762291514605472,61.12492581568115
T133,control,3,0.22333333333333333,2.276666666666667,96.18912855246829,0.14032333333333333,2,0.195,3.69,52.70618556701031,0.339955,0.13566586515315518,-0.4829140731378467,0.6015835206279089,T133F,stronger,0.7028606016089753,increased,above_control,increased,above_control,decreased,below_control,decreased,below_control,97.8917417901604,26.04483702355448,-59.08456764998187,-47.01817760351969
T134,control,5,0.191,3.2600000000000002,59.15058308991269,0.13833800000000002,1,0.18,2.94,61.224489795918366,0.13365,0.059316577156419505,0.10331761402802614,-0.034460821346184285,T134F,mixed,0.6481632459937082,decreased,above_control,increased,above_control,increased,below_control,increased,above_control,12.003715955073066,17.626033604751072,-9.89849755798843,15.212459917919418
T135,control,3,0.17833333333333334,2.37,80.51817860610528,0.16122333333333333,1,0.275,2.84,96.83098591549297,0.1081,-0.4331166394386745,-0.18091409702607472,-0.18448406536885248,T135F,weaker,-0.04346113187858779,decreased,below_control,decreased,below_control,decreased,below_control,increased,above_control,-1.4555840949338066,-23.6365926578752,-37.33214707413292,60.847559673483744
