direction,LOC_ID,protein_name,log2FoldChange,padj,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
up,LOC134725866,NA,1.818,0.0226,5.167,5.079,4.762,5.483,6.092,5.124,3.486,6.213,3.486,5.983,4.726,5.066,4.308,4.724,4.885,4.696,4.336,4.402,4.045,3.486,4.873,3.486,4.295,3.486,4.275,4.616,3.486,4.278,4.368,4.674,3.486,3.486,4.539,4.346,3.486,4.329,3.486,4.435,4.388,4.155,3.486,4.642,4.613,4.61,4.541,4.756
up,LOC134714500,Uncharacterized protein C18H10.09,1.811,0.0222,5.483,6.112,4.7,6.113,6.3,5.411,5.21,6.546,3.486,6.033,5.045,5.572,5.666,4.648,5.568,5.31,4.919,4.711,4.961,4.744,4.342,4.551,3.486,4.493,4.589,4.616,4.785,3.486,5.009,4.954,4.894,4.531,3.486,3.486,3.486,3.486,4.606,4.904,5.165,4.791,3.486,3.486,4.85,4.667,4.948,4.559
up,LOC134707119,NA,1.693,0.00944,6.06,5.355,4.875,6.38,7.024,4.601,5.154,7.482,4.88,7.151,4.335,4.757,5.199,4.258,5.4,4.696,4.843,4.599,4.707,4.744,4.749,4.632,3.486,4.408,4.889,3.486,3.486,4.594,4.971,4.498,4.501,3.486,4.946,4.612,4.681,4.768,4.929,5.037,5.113,5.138,4.849,5.03,5.209,4.87,4.86,4.398
up,LOC134714625,E3 ubiquitin-protein ligase arih1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1),1.469,0.00944,6.529,7.176,5.896,7.596,7.114,6.576,5.777,8.543,4.88,7.604,5.444,6.163,6.152,5.141,6.905,5.768,4.671,4.538,4.647,5.05,5.458,4.961,4.781,4.493,5.012,4.823,4.785,5.181,5.67,5.77,5.138,4.611,4.635,5.043,5.206,4.662,5.492,5.744,6.137,5.138,5.483,5.619,6.66,5.966,5.791,5.065
up,LOC134725611,Leukocyte receptor cluster member 9,1.465,0.00332,6.181,6.941,6.133,7.626,7.695,5.968,5.21,7.881,5.439,7.435,5.604,6.515,6.51,5.09,6.803,5.959,4.991,4.945,5.09,5.216,5.527,4.551,4.854,4.829,5.224,5.098,4.722,5.103,5.753,6.154,5.34,5.091,5.434,5.23,5.057,4.605,5.655,5.857,6.038,5.674,5.483,5.514,5.834,5.908,5.77,5.414
up,LOC134707290,NA,1.421,0.0012,7.443,7.798,6.732,7.954,8.465,7.36,6.091,8.547,5.245,8.028,7.58,6.968,7.131,5.981,6.356,6.725,6.041,5.629,5.828,5.429,5.88,5.568,5.313,5.651,5.486,6.355,5.453,5.846,6.691,7.243,5.48,5.39,6.193,5.392,6.152,5.731,5.714,6.297,6.089,5.698,5.96,6.71,6.942,6.846,6.736,5.658
up,LOC134688288,"ATP-dependent RNA helicase DEAH12, chloroplastic (EC 3.6.4.13)",1.395,0.0404,5.054,5.079,5.92,5.303,4.824,5.482,5.546,4.381,4.88,5.896,7.928,5.066,4.82,5.09,4.254,4.198,3.981,3.486,3.486,4.957,3.486,4.961,4.416,4.075,4.822,4.536,4.655,4.278,4.21,8.632,4.948,4.345,4.946,3.486,4.681,4.908,4.095,4.576,4.742,4.345,5.155,5.359,4.292,5.52,4.814,4.814
up,LOC134691227,NA,1.364,7.95e-6,8.128,8.77,7.944,8.251,7.316,7.825,7.255,8.927,7.397,7.666,6.672,7.649,7.379,7.901,7.238,8.102,7.212,8.092,8.714,8,7.866,7.933,6.252,8.027,7.959,8.888,7.428,9.166,7.033,6.224,8.11,6.8,8.176,7.675,6.704,6.083,7.356,6.794,6.528,6.514,6.81,6.664,6.308,6.127,7.175,6.656
up,LOC134721144,Cytochrome P450 10 (EC 1.14.-.-) (CYPX),1.361,0.0404,4.62,4.85,4.308,4.835,5.193,5.55,3.486,5.295,4.434,5.073,6.54,4.972,5.116,4.724,4.343,4.198,4.573,4.473,5.468,4.389,4.096,4.707,3.486,4.493,4.275,3.922,4.722,4.774,4.763,5.274,3.486,4.531,4.635,3.486,4.422,4.329,4.68,4.355,4.388,4.345,3.486,4.254,4.467,4.411,4.713,4.756
up,LOC134711856,NA,1.274,0.0404,5.335,5.13,5.609,4.882,4.885,4.521,4.739,4.657,6.472,4.661,7.473,5.542,5.872,5.817,6.009,5.604,6.041,6.793,5.894,5.978,5.931,6.271,4.781,4.937,3.486,4.69,4.9,5.325,4.558,3.486,4.717,4.753,4.635,4.686,5.134,4.768,4.68,4.904,4.88,5.061,4.518,4.47,4.677,4.61,4.86,4.922
up,LOC134721622,NA,1.263,5.66e-6,6.676,6.112,6.009,6.261,6.642,6.694,5.879,6.38,6.753,6.618,7.365,6.515,6.112,5.409,5.568,6.086,6.263,6.939,5.977,6.535,6.095,6.579,5.997,4.493,5.525,5.731,4.9,5.823,5.773,5.832,4.717,5.39,5.883,5.889,5.932,5.458,5.085,5.484,5.165,5.245,5.563,5.944,5.247,6.022,5.609,5.978
up,LOC134706828,NA,1.262,0.0216,7.119,6.966,5.694,7.152,6.772,7.13,5.032,4.733,7.03,5.86,7.961,6.936,5.421,6.934,7.401,6.672,7.061,7.565,6.017,6.284,6.027,6.25,4.616,5.499,5.123,4.448,5.957,5.89,5.773,7.531,4.839,5.693,5.073,5.601,5.459,5.072,5.383,6.058,5.165,6.015,4.697,5.229,5.903,5.187,6.757,5.713
up,LOC134724522,GTP-binding protein 1,1.17,0.0156,6.516,7.165,5.694,7.429,7.994,5.816,5.21,7.668,5.483,7.316,5.386,6.602,6.989,5.726,6.534,6.457,5.345,6.123,5.851,5.396,5.828,5.344,5.57,5.531,5.486,5.319,5.861,5.358,5.604,6.246,5.093,5.632,5.341,5.836,5.514,5.311,5.383,5.646,5.622,5.855,5.776,6.185,5.657,6.003,6.27,5.815
up,LOC134722221,NA,1.164,0.0184,5.758,5.355,5.694,6.06,6.412,7.087,5.032,5.861,5.346,6.53,7.078,4.972,5.609,5.19,5.458,6.106,4.919,5.529,5.686,5.216,4.607,5.017,3.957,4.708,4.889,5.236,4.419,5.255,5.535,6.546,4.579,4.611,5.241,5.092,4.974,4.478,5.132,4.95,5.351,5.02,5.155,5.03,5.129,5.888,5.913,4.922
up,LOC134691224,General transcription factor 3C polypeptide 2 (TF3C-beta) (Transcription factor IIIC 110 kDa subunit) (TFIIIC 110 kDa subunit) (TFIIIC110) (Transcription factor IIIC subunit beta),1.133,5.66e-6,7.852,8.297,7.556,7.949,7.114,7.14,7.481,8.339,7.085,7.336,7.562,7.042,7.131,7.819,6.645,7.816,7.337,7.79,8.503,7.724,7.366,7.332,6.448,7.744,7.571,8.12,7.583,8.995,6.872,6.354,7.644,7.384,7.887,7.285,6.875,6.182,7.143,6.667,6.113,6.941,6.555,6.649,6.24,6.507,6.809,6.2
down,LOC134710931,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),-0.444,0.00735,6.664,6.326,6.625,6.422,6.498,6.413,6.561,6.36,6.093,6.788,6.436,6.868,6.597,6.708,7.191,6.672,7.276,6.379,7.056,7.405,6.778,6.643,6.619,6.918,6.647,6.939,6.802,6.619,6.863,6.852,6.937,6.731,6.507,6.733,6.895,6.951,7.068,6.848,6.804,7.394,6.747,7.021,6.909,6.709,6.917,6.629
down,LOC134695234,Minor histocompatibility antigen H13 (EC 3.4.23.-) (Presenilin-like protein 3) (Signal peptide peptidase),-0.494,0.0404,7.763,7.976,7.699,8.036,7.651,6.904,6.747,7.535,7.879,7.625,7.447,8.002,8.318,8.673,8.595,8.057,7.361,8.416,7.573,7.915,7.656,8.054,8.3,8.022,7.904,8.278,9.031,7.203,8.263,7.618,8.221,8.446,8.352,8.282,8.038,8.758,8.02,7.936,7.787,8.804,8.475,7.926,7.848,7.79,8.341,8.103
down,LOC134714502,Protein PRRC1-A (Proline-rich and coiled-coil-containing protein 1-A),-0.547,0.0414,5.455,5.647,5.58,5.64,5.61,5.517,5.588,5.422,5.296,5.573,5.415,5.345,6.317,6.218,5.785,5.768,5.396,5.58,5.408,5.912,6.201,6.25,5.751,5.679,5.973,5.87,5.644,5.219,5.958,6.13,5.995,5.861,5.561,5.809,5.4,6.065,5.826,5.767,5.847,5.573,6.016,5.652,5.247,6.315,6.357,6.544
down,LOC134725659,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2),-0.549,0.0367,6.181,6.306,5.987,6.197,6.548,6.413,5.365,6.771,6.12,6.375,5.954,6.237,6.611,7.184,7.183,6.533,7.031,7.553,6.573,6.267,6.979,7.035,6.981,7.187,7.088,6.577,7.56,5.954,7.482,7.601,6.767,7.312,6.981,6.719,6.186,7.535,6.678,6.879,6.273,6.578,6.73,7.149,6.435,6.569,6.67,6.833
down,LOC134686847,Synapse-associated protein 1 (BSD domain-containing signal transducer and Akt interactor protein) (BSTA),-0.567,9.97e-4,6.754,6.807,6.878,6.663,6.701,7.527,6.478,6.631,6.61,6.825,6.875,6.772,7.17,7.106,7.082,7.181,6.858,7.153,6.478,6.709,7.402,7.332,6.689,6.996,6.906,6.85,6.852,6.645,6.447,6.937,6.96,6.535,7.665,7.247,7.827,7.22,7.382,7.283,6.931,7.181,7.479,6.972,7.483,7.349,7.393,7.401
down,LOC134714691,Protein KRTCAP2 homolog (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2) (Oligosaccharyl transferase subunit KCP2),-0.575,0.0186,6.423,6.493,6.133,6.754,6.611,5.733,5.974,5.861,6.684,6.156,6.184,6.797,6.956,7.173,6.834,6.725,6.476,7.137,5.997,6.819,6.991,6.95,6.527,6.332,6.63,6.239,7.395,5.954,6.827,6.374,6.434,6.94,6.623,6.828,6.399,7.235,7.253,6.715,6.51,7.276,6.856,6.84,7.064,6.428,6.859,6.856
down,LOC134684271,"Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)",-0.592,0.0153,5.712,4.715,5.352,5.59,5.577,5.336,5.264,5.772,5.483,5.234,5.677,5.345,6.009,5.726,6.297,5.449,5.181,5.829,5.997,5.867,6.004,5.977,6.131,5.862,5.859,5.844,6.231,6.236,5.812,5.601,6.203,6.486,5.944,5.94,5.971,5.796,5.457,5.857,5.622,5.876,6.044,6.249,6.149,6.003,5.874,5.601
down,LOC134712135,NA,-0.602,0.0114,5.237,5.178,4.978,5.27,5.147,4.742,5.154,5.048,5.245,5.203,5.193,5.11,5.454,5.282,5.541,5.604,5.058,5.207,5.711,5.639,5.384,5.302,5.716,5.499,5.362,5.542,5.836,5.752,5.461,5.274,5.513,5.808,5.601,5.535,5.716,5.859,5.655,5.394,5.394,5.624,5.353,5.133,5.284,5.466,5.507,5.686
down,LOC134724954,Cerebellar degeneration-related protein 2,-0.646,0.0135,6.06,6.065,5.748,6.261,5.321,5.256,5.413,5.944,5.346,5.662,5.386,5.542,6.706,6.58,6.621,6.547,5.812,6.073,6.519,6.214,6.543,5.845,6.706,6.332,6.579,6.669,7.159,6.318,6.28,5.92,5.878,6.852,6.604,6.631,6.455,6.065,5.714,6.555,6.51,6.377,6.122,6.351,5.99,6.344,6.06,6
down,LOC134708172,Zonadhesin,-0.647,0.0324,9.332,8.802,9.504,9.687,9.634,10.037,8.748,9.384,9.007,9.4,7.961,9.624,9.782,9.941,9.477,10.354,10.055,9.594,9.436,10.031,9.477,9.324,9.133,9.557,8.888,9.656,9.973,8.407,9.923,10.129,10.186,10.089,9.098,8.452,9.847,9.712,10.189,9.379,10.609,11.081,9.246,10.241,10.091,9.307,10.352,10.049
down,LOC134695949,High mobility group protein DSP1 (Protein dorsal switch 1),-0.676,0.0291,4.835,5.395,4.486,4.882,5.28,4.601,5.094,4.87,5.136,5.292,4.963,5.066,5.848,5.662,5.134,5.513,5.345,5.477,5.241,5.582,5.625,5.214,5.313,5.126,5.829,5.472,5.308,5.143,5.271,5.071,5.694,5.091,5.478,5.23,5.716,5.918,5.383,5.331,4.813,5.519,5.563,5.619,5.209,5.255,5.507,5.344
down,LOC134721489,UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT),-0.677,0.0328,5.455,6.089,5.352,5.824,6.158,5.517,5.546,6.213,5.077,5.949,5.193,5.63,5.773,6.196,6.865,6.41,5.7,5.721,5.957,5.666,5.98,6.229,6.343,5.562,6.469,6.81,6.864,6.074,6.385,5.672,6.401,6.399,6.032,5.272,5.807,6.698,5.592,6.039,6.336,6.721,6.645,5.747,6.308,6.428,5.833,6.629
down,LOC134682520,Tubulin beta-2 chain (Beta-tubulin class-II),-0.677,0.00655,5.538,5.711,5.943,5.483,5.898,5.675,4.82,5.609,5.645,5.878,5.79,5.956,6.417,6.493,6.547,6.221,6.807,6.535,6.299,6.383,6.3,6.098,6.079,6.128,6.127,6.112,6.111,6.269,6.151,5.976,5.926,6.399,5.974,6.27,5.716,6.166,6.678,5.835,6.435,6.447,5.96,6.046,6.091,6.208,6.078,6.643
down,LOC134710932,NA,-0.714,0.0378,8.87,9.22,8.2,8.475,9.745,9.824,8.435,9.552,8.927,9.905,7.88,9.622,9.544,9.343,9.533,10.458,10.412,10.262,10.018,10.597,10.404,10.253,9.895,10.443,9.517,9.57,10.066,9.23,9.421,10.228,10.52,9.701,9.462,8.859,9.931,9.306,10.525,10.11,11.139,9.827,10.162,10.252,9.509,9.467,9.303,9.756
down,LOC134695637,Otoferlin (Fer-1-like protein 2),-0.769,0.00332,5.538,4.785,5.694,5.202,5.4,5.447,5.667,5.339,5.245,5.348,4.778,5.309,5.638,4.981,5.487,5.913,5.812,5.503,5.408,6.081,5.98,5.698,5.161,5.91,5.224,6.02,5.784,5.651,5.648,5.948,5.694,5.632,5.64,5.535,5.932,5.564,6.049,5.941,6.229,5.834,5.743,6.021,5.903,6.075,5.559,5.447
down,LOC134697817,NA,-0.772,0.0041,5.455,5.27,5.159,5.802,5.237,4.521,5.154,5.202,5.245,5.683,5.193,5.193,5.721,5.929,5.807,5.574,5.345,5.138,5.635,6.061,6.28,5.817,5.53,5.592,5.634,5.608,5.583,5.625,6.195,5.527,5.665,5.271,5.85,5.664,5.85,5.957,5.954,5.9,5.394,5.917,5.563,5.944,6.111,5.52,5.633,6.063
down,LOC134695948,High mobility group protein DSP1 (Protein dorsal switch 1),-0.851,0.0062,6.676,5.742,6.03,6.859,6.3,5.411,5.812,6.048,6.093,6.35,6.422,6.439,6.719,6.881,6.915,6.518,6.362,6.219,6.2,7.241,7.134,6.733,6.564,6.367,6.411,6.699,6.507,6.455,7.302,6.333,6.184,6.326,6.797,6.309,6.834,6.904,7.434,7.082,6.492,6.892,6.377,6.27,7.699,6.455,7.324,7.417
down,LOC134685295,NA,-0.882,0.0175,5.908,5.647,5.666,5.845,5.61,4.865,4.82,4.87,5.439,5.348,5.045,5.345,6.051,5.694,5.716,5.273,5.915,6.572,5.609,4.683,5.773,5.926,6.564,6.107,4.822,6.373,6.9,4.774,6.166,5.364,6.017,5.6,5.883,6.841,5.274,6.571,5.799,5.879,5.657,6.841,6.419,5.971,5.71,5.493,6.161,6.5
down,LOC134722182,NA,-0.887,4.57e-4,5.271,5.27,5.315,5.335,5.509,4.674,5.154,5.048,5.682,5.745,5.629,5.48,5.848,5.902,5.514,5.449,5.739,5.58,5.661,5.935,5.828,5.568,5.49,5.531,5.889,5.896,5.957,5.325,6.224,5.014,6.082,5.632,5.601,5.465,6.152,6.245,6.298,5.879,5.394,5.996,6.07,6.117,6.186,5.52,5.913,5.911
down,LOC134707301,Solute carrier family 35 member B1 (Endoplasmic reticulum nucleotide sugar transporter 1),-0.9,3.98e-4,5.303,5.079,5.2,5.712,5.509,5.17,5.094,5.5,5.393,5.683,5.045,5.511,6.051,5.594,6.202,6.31,5.058,6.28,5.582,6.041,5.656,5.533,6.386,6.001,5.735,6.218,6.598,5.325,5.905,6.003,6.039,6.486,5.944,5.781,5.932,6.417,5.655,5.54,5.587,6.474,6.147,6.117,5.786,5.868,6.06,5.978
down,LOC134708154,"ER degradation-enhancing alpha-mannosidase-like protein 3 (EC 3.2.1.113) (Alpha-1,2-mannosidase EDEM3)",-0.911,0.00103,5.564,5.802,5.55,6.023,6.046,5.447,6.118,5.741,5.856,5.932,5.578,6.163,6.367,6.645,7.082,6.859,6.582,6.352,6.779,6.177,6.844,6.187,7.114,6.297,7.038,6.155,6.598,6.219,6.293,6.154,6.854,7.235,6.797,6.6,5.807,6.815,5.905,7.211,6.804,6.14,6.957,5.863,6.92,6.481,6.503,6.515
down,LOC134696347,Tubulin beta chain (Beta-tubulin),-1.04,7.23e-6,9.134,9.143,8.709,9.319,8.599,8.301,8.425,7.954,8.018,9.28,8.867,8.678,9.657,9.205,9.615,9.443,9.707,9.501,9.232,9.613,9.238,9.537,8.37,9.515,9.918,9.209,9.026,9.418,9.671,9.249,9.131,8.568,9.898,9.464,8.778,9.488,10.245,9.469,9.237,9.595,9.701,10.211,10.246,10.282,9.955,9.975
down,LOC134725878,FAD-dependent oxidoreductase domain-containing protein 2,-1.159,5.99e-4,5.928,5.859,5.666,5.454,6.394,6.015,5.974,5.643,5.789,5.428,5.325,6.29,6.757,6.363,6.371,5.715,5.881,5.928,5.168,5.639,6.869,6.271,7.088,6.187,6.33,5.922,6.598,6.166,5.581,5.738,6.646,6.826,5.818,6.733,6.083,6.431,6.298,7.493,7.022,6.951,7.293,6.664,7.655,6.127,5.952,6.273
down,LOC134706903,Putative ferric-chelate reductase 1 homolog (DmSDR2) (EC 1.-.-.-),-1.276,0.0367,5.426,5.026,5.116,5.615,5.237,4.922,4.966,3.486,3.486,5.348,3.486,5.233,5.315,4.258,5.134,4.696,4.919,3.486,3.486,4.683,5.133,4.462,4.987,4.884,6.151,4.884,5.308,4.878,6.529,5.948,4.894,4.611,5.914,5.23,6.704,5.311,6.115,6.606,5.351,5.175,6.147,5.944,6.052,5.868,5.211,6.021
down,LOC134720609,NA,-1.517,0.0041,4.031,4.368,4.308,4.42,4.35,4.434,5.503,4.933,4.311,5.453,4.613,5.572,5.278,6.007,4.153,4.306,5.578,4.139,4.516,4.19,4.873,4.462,6.364,5.622,5.446,4.884,4.419,6.318,4.614,7.116,5.949,5.352,5.561,5.23,5.932,6.065,5.853,5.484,5.622,5.404,5.523,5.891,4.998,6.358,6.128,5.193
