direction,LOC_ID,protein_name,log2FoldChange,padj,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
up,LOC134712368,"Amino acid transporter heavy chain SLC3A1 (D2) (Neutral and basic amino acid transport protein) (NBAT) (Solute carrier family 3 member 1) (b(0,+)-type amino acid transporter-related heavy chain) (NAA-TR) (rBAT)",0.76,4.83e-5,8.989,8.985,8.581,8.977,9.394,8.335,8.914,9.981,8.949,9.433,9.017,9.418,8.981,9.043,8.977,8.962,8.965,9.71,8.985,8.449,8.924,9.465,8.479,8.932,8.64,8.669,8.859,8.71,7.532,8.817,8.004,8.476,9.597,8.413,8.246,8.193,8.378,8.354,8.111,8.408,8.354,8.418,8.545,8.568,8.703,8.073
up,LOC134714791,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)",0.75,0.00203,7.46,8.312,7.704,7.457,8.048,6.58,7.971,8.31,8.12,8.076,8.011,8.482,7.562,7.783,7.469,7.828,7.713,8.545,7.655,7.085,7.574,8.274,7.185,8.173,7.512,7.626,7.915,7.825,6.864,8.494,7.342,7.922,7.74,7.268,7.064,7.4,7.224,7.186,6.697,7.469,7.498,7.182,7.14,7.136,7.522,6.844
up,LOC134714392,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),0.739,0.0333,6.181,6.383,6.35,5.398,6.958,5.823,6.398,6.732,5.576,6.731,6.359,7.256,6.19,5.282,5.762,6.41,5.812,6.485,5.873,5.819,6.494,6.733,6.078,6.528,5.278,6.797,5.673,6.038,5.094,7.148,5.823,5.932,5.7,5.765,5.339,5.817,6.115,5.9,6.113,5.311,5.601,5.806,6.052,5.694,5.397,6.063
up,LOC134706246,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Glycoprotein-N-acetylgalactosamine beta-1,3-galactosyltransferase) (Beta-1,3-galactosyltransferase) (T-synthase)",0.736,0.00497,6.079,6.749,6.052,5.76,6.724,6.093,6.009,6.29,6.66,6.717,6.242,6.059,6.495,6.302,6.009,6.59,6.184,6.393,6.148,5.867,6.318,6.098,5.928,5.711,5.352,5.64,5.898,6.208,5.459,5.709,5.296,5.983,5.325,5.739,5.274,5.838,6.094,5.72,6.113,5.721,5.638,5.133,5.925,5.572,5.833,5.658
up,LOC134687008,Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF2-gamma),0.732,0.0142,6.407,6.526,6.198,5.701,6.393,6.093,6.495,7.243,6.061,7.1,6.381,6.788,6.282,6.261,6.266,6.327,5.847,6.783,5.916,6.159,6.117,6.495,6.164,6.458,6.03,6.06,6.241,5.843,5.459,6.711,5.719,6.496,5.973,5.84,5.459,5.975,5.655,5.921,5.657,5.463,6.147,6.408,5.903,6.075,6.007,5.713
down,LOC134706837,Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230),0.285,0.0409,8.763,8.843,8.337,8.584,9.007,8.544,8.543,8.585,8.844,9.039,8.474,8.554,8.676,8.629,8.549,8.526,8.468,8.88,8.818,8.205,8.507,8.469,8.256,8.87,8.429,8.131,8.36,8.098,8.184,8.458,8.331,8.268,8.254,8.341,8.488,8.606,8.195,8.316,8.555,8.439,8.48,8.371,8.24,8.532,8.057,8.277
down,LOC134717170,Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1),0.281,0.0159,7.965,8.158,7.918,8.344,8.269,8.429,7.984,8.04,7.939,8.27,7.792,8.056,7.955,7.953,8.219,8.259,8.355,8.196,8.791,8.36,7.762,8.202,8.352,7.989,8.1,7.661,7.994,8.445,7.956,8.084,8.039,7.604,8.526,8.103,7.907,7.73,7.705,7.828,8.025,7.894,7.728,7.805,7.79,7.993,7.781,7.726
down,LOC134699002,ATP-dependent RNA helicase me31b (EC 3.6.4.13) (Maternal expression at 31B),0.278,0.0388,6.967,7.12,6.987,7.133,7.428,7.356,7.017,7.558,7.226,7.174,7.182,7.207,6.901,7.162,7.133,7.356,6.454,7.318,7.239,6.795,6.778,6.859,7.185,7.378,6.831,7.547,7.716,7.098,7.059,7.066,7.111,7.316,7.4,7.052,7.046,6.987,7.012,6.98,6.819,6.861,6.73,6.664,7.024,6.981,7.167,6.891
down,LOC134710563,NA,-0.02,0.0198,4.702,9.286,3.486,3.486,4.214,3.486,4.558,3.486,4.839,3.486,8.219,3.486,3.486,8.288,4.422,5.273,3.486,9.175,6.791,3.486,4.342,7.148,10.227,5.913,9.008,4.733,4.35,3.486,3.486,8.445,4.88,4.71,8.605,3.486,10.439,6.012,6.317,4.265,5.351,4.978,4.413,8.704,3.486,5.67,5.609,5.109
down,LOC134723546,NA,-0.065,0.0159,3.486,6.107,4.275,4.69,5.383,4.05,4.614,4.752,7.685,4.443,6.167,4.879,8.811,9.303,10.444,8.713,9.172,5.421,9.832,8.958,8.674,5.423,7.916,8.066,5.116,7.757,7.897,9.952,8.029,4.657,6.43,4.802,5.193,5.447,8.159,7.316,9.719,6.515,4.582,6.07,7.815,8.299,4.951,9.351,4.989,8.6
